# pixelID  x  y  z
110020001 -0.14625 -0.61725 1.74185
110020002 -0.14874 -0.61725 1.73872
110020003 -0.15124 -0.61725 1.73559
110020004 -0.15373 -0.61725 1.73247
110020005 -0.15622 -0.61725 1.72934
110020006 -0.15872 -0.61725 1.72621
110020007 -0.16121 -0.61725 1.72308
110020008 -0.16370 -0.61725 1.71995
110020009 -0.16619 -0.61725 1.71683
110020010 -0.16869 -0.61725 1.71370
110020011 -0.17118 -0.61725 1.71057
110020012 -0.17367 -0.61725 1.70744
110020013 -0.17617 -0.61725 1.70431
110020014 -0.17866 -0.61725 1.70119
110020015 -0.18115 -0.61725 1.69806
110020016 -0.18365 -0.61725 1.69493
110020017 -0.18614 -0.61725 1.69180
110020018 -0.18863 -0.61725 1.68867
110020019 -0.19113 -0.61725 1.68555
110020020 -0.19362 -0.61725 1.68242
110020021 -0.19611 -0.61725 1.67929
110020022 -0.19860 -0.61725 1.67616
110020023 -0.20110 -0.61725 1.67303
110020024 -0.20359 -0.61725 1.66991
110020025 -0.20608 -0.61725 1.66678
110020026 -0.20858 -0.61725 1.66365
110020027 -0.21107 -0.61725 1.66052
110020028 -0.21356 -0.61725 1.65739
110020029 -0.21606 -0.61725 1.65426
110020030 -0.21855 -0.61725 1.65114
110020031 -0.22104 -0.61725 1.64801
110020032 -0.22353 -0.61725 1.64488
110020033 -0.22603 -0.61725 1.64175
110020034 -0.22852 -0.61725 1.63862
110020035 -0.23101 -0.61725 1.63550
110020036 -0.23351 -0.61725 1.63237
110020037 -0.23600 -0.61725 1.62924
110020038 -0.23849 -0.61725 1.62611
110020039 -0.24099 -0.61725 1.62298
110020040 -0.24348 -0.61725 1.61986
110020041 -0.24597 -0.61725 1.61673
110020042 -0.24847 -0.61725 1.61360
110020043 -0.25096 -0.61725 1.61047
110020044 -0.25345 -0.61725 1.60734
110020045 -0.25594 -0.61725 1.60422
110020046 -0.25844 -0.61725 1.60109
110020047 -0.26093 -0.61725 1.59796
110020048 -0.26342 -0.61725 1.59483
110020049 -0.26592 -0.61725 1.59170
110020050 -0.26841 -0.61725 1.58858
110020051 -0.27090 -0.61725 1.58545
110020052 -0.27340 -0.61725 1.58232
110020053 -0.27589 -0.61725 1.57919
110020054 -0.27838 -0.61725 1.57606
110020055 -0.28088 -0.61725 1.57294
110020056 -0.28337 -0.61725 1.56981
110020057 -0.28586 -0.61725 1.56668
110020058 -0.28835 -0.61725 1.56355
110020059 -0.29085 -0.61725 1.56042
110020060 -0.29334 -0.61725 1.55730
110020061 -0.29583 -0.61725 1.55417
110020062 -0.29833 -0.61725 1.55104
110020063 -0.30082 -0.61725 1.54791
110020064 -0.30331 -0.61725 1.54478
110020065 -0.30581 -0.61725 1.54166
110020066 -0.30830 -0.61725 1.53853
110020067 -0.31079 -0.61725 1.53540
110020068 -0.31329 -0.61725 1.53227
110020069 -0.31578 -0.61725 1.52914
110020070 -0.31827 -0.61725 1.52602
110020071 -0.32076 -0.61725 1.52289
110020072 -0.32326 -0.61725 1.51976
110020073 -0.32575 -0.61725 1.51663
110020074 -0.32824 -0.61725 1.51350
110020075 -0.33074 -0.61725 1.51037
110020076 -0.33323 -0.61725 1.50725
110020077 -0.33572 -0.61725 1.50412
110020078 -0.33822 -0.61725 1.50099
110020079 -0.34071 -0.61725 1.49786
110020080 -0.34320 -0.61725 1.49473
110020081 -0.34569 -0.61725 1.49161
110020082 -0.34819 -0.61725 1.48848
110020083 -0.35068 -0.61725 1.48535
110020084 -0.35317 -0.61725 1.48222
110020085 -0.35567 -0.61725 1.47909
110020086 -0.35816 -0.61725 1.47597
110020087 -0.36065 -0.61725 1.47284
110020088 -0.36315 -0.61725 1.46971
110020089 -0.36564 -0.61725 1.46658
110020090 -0.36813 -0.61725 1.46345
110020091 -0.37063 -0.61725 1.46033
110020092 -0.37312 -0.61725 1.45720
110020093 -0.37561 -0.61725 1.45407
110020094 -0.37810 -0.61725 1.45094
110020095 -0.38060 -0.61725 1.44781
110020096 -0.38309 -0.61725 1.44469
110020097 -0.38558 -0.61725 1.44156
110020098 -0.38808 -0.61725 1.43843
110020099 -0.39057 -0.61725 1.43530
110020100 -0.39306 -0.61725 1.43217
110020101 -0.39556 -0.61725 1.42905
110020102 -0.39805 -0.61725 1.42592
110020103 -0.40054 -0.61725 1.42279
110020104 -0.40304 -0.61725 1.41966
110020105 -0.40553 -0.61725 1.41653
110020106 -0.40802 -0.61725 1.41341
110020107 -0.41051 -0.61725 1.41028
110020108 -0.41301 -0.61725 1.40715
110020109 -0.41550 -0.61725 1.40402
110020110 -0.41799 -0.61725 1.40089
110020111 -0.42049 -0.61725 1.39777
110020112 -0.42298 -0.61725 1.39464
110020113 -0.42547 -0.61725 1.39151
110020114 -0.42797 -0.61725 1.38838
110020115 -0.43046 -0.61725 1.38525
110020116 -0.43295 -0.61725 1.38213
110020117 -0.43545 -0.61725 1.37900
110020118 -0.43794 -0.61725 1.37587
110020119 -0.44043 -0.61725 1.37274
110020120 -0.44292 -0.61725 1.36961
110020121 -0.44542 -0.61725 1.36649
110020122 -0.44791 -0.61725 1.36336
110020123 -0.45040 -0.61725 1.36023
110020124 -0.45290 -0.61725 1.35710
110020125 -0.45539 -0.61725 1.35397
110020126 -0.45788 -0.61725 1.35084
110020127 -0.46038 -0.61725 1.34772
110020128 -0.46287 -0.61725 1.34459
110020129 -0.46536 -0.61725 1.34146
110020130 -0.46786 -0.61725 1.33833
110020131 -0.47035 -0.61725 1.33520
110020132 -0.47284 -0.61725 1.33208
110020133 -0.47533 -0.61725 1.32895
110020134 -0.47783 -0.61725 1.32582
110020135 -0.48032 -0.61725 1.32269
110020136 -0.48281 -0.61725 1.31956
110020137 -0.48531 -0.61725 1.31644
110020138 -0.48780 -0.61725 1.31331
110020139 -0.49029 -0.61725 1.31018
110020140 -0.49279 -0.61725 1.30705
110020141 -0.49528 -0.61725 1.30392
110020142 -0.49777 -0.61725 1.30080
110020143 -0.50026 -0.61725 1.29767
110020144 -0.50276 -0.61725 1.29454
110020145 -0.50525 -0.61725 1.29141
110020146 -0.50774 -0.61725 1.28828
110020147 -0.51024 -0.61725 1.28516
110020148 -0.51273 -0.61725 1.28203
110020149 -0.51522 -0.61725 1.27890
110020150 -0.51772 -0.61725 1.27577
110020151 -0.14625 -0.60375 1.74185
110020152 -0.14874 -0.60375 1.73872
110020153 -0.15124 -0.60375 1.73559
110020154 -0.15373 -0.60375 1.73247
110020155 -0.15622 -0.60375 1.72934
110020156 -0.15872 -0.60375 1.72621
110020157 -0.16121 -0.60375 1.72308
110020158 -0.16370 -0.60375 1.71995
110020159 -0.16619 -0.60375 1.71683
110020160 -0.16869 -0.60375 1.71370
110020161 -0.17118 -0.60375 1.71057
110020162 -0.17367 -0.60375 1.70744
110020163 -0.17617 -0.60375 1.70431
110020164 -0.17866 -0.60375 1.70119
110020165 -0.18115 -0.60375 1.69806
110020166 -0.18365 -0.60375 1.69493
110020167 -0.18614 -0.60375 1.69180
110020168 -0.18863 -0.60375 1.68867
110020169 -0.19113 -0.60375 1.68555
110020170 -0.19362 -0.60375 1.68242
110020171 -0.19611 -0.60375 1.67929
110020172 -0.19860 -0.60375 1.67616
110020173 -0.20110 -0.60375 1.67303
110020174 -0.20359 -0.60375 1.66991
110020175 -0.20608 -0.60375 1.66678
110020176 -0.20858 -0.60375 1.66365
110020177 -0.21107 -0.60375 1.66052
110020178 -0.21356 -0.60375 1.65739
110020179 -0.21606 -0.60375 1.65426
110020180 -0.21855 -0.60375 1.65114
110020181 -0.22104 -0.60375 1.64801
110020182 -0.22353 -0.60375 1.64488
110020183 -0.22603 -0.60375 1.64175
110020184 -0.22852 -0.60375 1.63862
110020185 -0.23101 -0.60375 1.63550
110020186 -0.23351 -0.60375 1.63237
110020187 -0.23600 -0.60375 1.62924
110020188 -0.23849 -0.60375 1.62611
110020189 -0.24099 -0.60375 1.62298
110020190 -0.24348 -0.60375 1.61986
110020191 -0.24597 -0.60375 1.61673
110020192 -0.24847 -0.60375 1.61360
110020193 -0.25096 -0.60375 1.61047
110020194 -0.25345 -0.60375 1.60734
110020195 -0.25594 -0.60375 1.60422
110020196 -0.25844 -0.60375 1.60109
110020197 -0.26093 -0.60375 1.59796
110020198 -0.26342 -0.60375 1.59483
110020199 -0.26592 -0.60375 1.59170
110020200 -0.26841 -0.60375 1.58858
110020201 -0.27090 -0.60375 1.58545
110020202 -0.27340 -0.60375 1.58232
110020203 -0.27589 -0.60375 1.57919
110020204 -0.27838 -0.60375 1.57606
110020205 -0.28088 -0.60375 1.57294
110020206 -0.28337 -0.60375 1.56981
110020207 -0.28586 -0.60375 1.56668
110020208 -0.28835 -0.60375 1.56355
110020209 -0.29085 -0.60375 1.56042
110020210 -0.29334 -0.60375 1.55730
110020211 -0.29583 -0.60375 1.55417
110020212 -0.29833 -0.60375 1.55104
110020213 -0.30082 -0.60375 1.54791
110020214 -0.30331 -0.60375 1.54478
110020215 -0.30581 -0.60375 1.54166
110020216 -0.30830 -0.60375 1.53853
110020217 -0.31079 -0.60375 1.53540
110020218 -0.31329 -0.60375 1.53227
110020219 -0.31578 -0.60375 1.52914
110020220 -0.31827 -0.60375 1.52602
110020221 -0.32076 -0.60375 1.52289
110020222 -0.32326 -0.60375 1.51976
110020223 -0.32575 -0.60375 1.51663
110020224 -0.32824 -0.60375 1.51350
110020225 -0.33074 -0.60375 1.51037
110020226 -0.33323 -0.60375 1.50725
110020227 -0.33572 -0.60375 1.50412
110020228 -0.33822 -0.60375 1.50099
110020229 -0.34071 -0.60375 1.49786
110020230 -0.34320 -0.60375 1.49473
110020231 -0.34569 -0.60375 1.49161
110020232 -0.34819 -0.60375 1.48848
110020233 -0.35068 -0.60375 1.48535
110020234 -0.35317 -0.60375 1.48222
110020235 -0.35567 -0.60375 1.47909
110020236 -0.35816 -0.60375 1.47597
110020237 -0.36065 -0.60375 1.47284
110020238 -0.36315 -0.60375 1.46971
110020239 -0.36564 -0.60375 1.46658
110020240 -0.36813 -0.60375 1.46345
110020241 -0.37063 -0.60375 1.46033
110020242 -0.37312 -0.60375 1.45720
110020243 -0.37561 -0.60375 1.45407
110020244 -0.37810 -0.60375 1.45094
110020245 -0.38060 -0.60375 1.44781
110020246 -0.38309 -0.60375 1.44469
110020247 -0.38558 -0.60375 1.44156
110020248 -0.38808 -0.60375 1.43843
110020249 -0.39057 -0.60375 1.43530
110020250 -0.39306 -0.60375 1.43217
110020251 -0.39556 -0.60375 1.42905
110020252 -0.39805 -0.60375 1.42592
110020253 -0.40054 -0.60375 1.42279
110020254 -0.40304 -0.60375 1.41966
110020255 -0.40553 -0.60375 1.41653
110020256 -0.40802 -0.60375 1.41341
110020257 -0.41051 -0.60375 1.41028
110020258 -0.41301 -0.60375 1.40715
110020259 -0.41550 -0.60375 1.40402
110020260 -0.41799 -0.60375 1.40089
110020261 -0.42049 -0.60375 1.39777
110020262 -0.42298 -0.60375 1.39464
110020263 -0.42547 -0.60375 1.39151
110020264 -0.42797 -0.60375 1.38838
110020265 -0.43046 -0.60375 1.38525
110020266 -0.43295 -0.60375 1.38213
110020267 -0.43545 -0.60375 1.37900
110020268 -0.43794 -0.60375 1.37587
110020269 -0.44043 -0.60375 1.37274
110020270 -0.44292 -0.60375 1.36961
110020271 -0.44542 -0.60375 1.36649
110020272 -0.44791 -0.60375 1.36336
110020273 -0.45040 -0.60375 1.36023
110020274 -0.45290 -0.60375 1.35710
110020275 -0.45539 -0.60375 1.35397
