# pixelID  x  y  z
107110001 -1.14293 0.52275 -0.51241
107110002 -1.14106 0.52275 -0.51595
107110003 -1.13920 0.52275 -0.51949
107110004 -1.13733 0.52275 -0.52303
107110005 -1.13547 0.52275 -0.52656
107110006 -1.13360 0.52275 -0.53010
107110007 -1.13174 0.52275 -0.53364
107110008 -1.12987 0.52275 -0.53718
107110009 -1.12801 0.52275 -0.54072
107110010 -1.12614 0.52275 -0.54426
107110011 -1.12428 0.52275 -0.54779
107110012 -1.12241 0.52275 -0.55133
107110013 -1.12054 0.52275 -0.55487
107110014 -1.11868 0.52275 -0.55841
107110015 -1.11681 0.52275 -0.56195
107110016 -1.11495 0.52275 -0.56549
107110017 -1.11308 0.52275 -0.56902
107110018 -1.11122 0.52275 -0.57256
107110019 -1.10935 0.52275 -0.57610
107110020 -1.10749 0.52275 -0.57964
107110021 -1.10562 0.52275 -0.58318
107110022 -1.10376 0.52275 -0.58672
107110023 -1.10189 0.52275 -0.59025
107110024 -1.10003 0.52275 -0.59379
107110025 -1.09816 0.52275 -0.59733
107110026 -1.09629 0.52275 -0.60087
107110027 -1.09443 0.52275 -0.60441
107110028 -1.09256 0.52275 -0.60795
107110029 -1.09070 0.52275 -0.61148
107110030 -1.08883 0.52275 -0.61502
107110031 -1.08697 0.52275 -0.61856
107110032 -1.08510 0.52275 -0.62210
107110033 -1.08324 0.52275 -0.62564
107110034 -1.08137 0.52275 -0.62918
107110035 -1.07951 0.52275 -0.63272
107110036 -1.07764 0.52275 -0.63625
107110037 -1.07577 0.52275 -0.63979
107110038 -1.07391 0.52275 -0.64333
107110039 -1.07204 0.52275 -0.64687
107110040 -1.07018 0.52275 -0.65041
107110041 -1.06831 0.52275 -0.65395
107110042 -1.06645 0.52275 -0.65748
107110043 -1.06458 0.52275 -0.66102
107110044 -1.06272 0.52275 -0.66456
107110045 -1.06085 0.52275 -0.66810
107110046 -1.05899 0.52275 -0.67164
107110047 -1.05712 0.52275 -0.67518
107110048 -1.05526 0.52275 -0.67871
107110049 -1.05339 0.52275 -0.68225
107110050 -1.05152 0.52275 -0.68579
107110051 -1.04966 0.52275 -0.68933
107110052 -1.04779 0.52275 -0.69287
107110053 -1.04593 0.52275 -0.69641
107110054 -1.04406 0.52275 -0.69994
107110055 -1.04220 0.52275 -0.70348
107110056 -1.04033 0.52275 -0.70702
107110057 -1.03847 0.52275 -0.71056
107110058 -1.03660 0.52275 -0.71410
107110059 -1.03474 0.52275 -0.71764
107110060 -1.03287 0.52275 -0.72117
107110061 -1.03100 0.52275 -0.72471
107110062 -1.02914 0.52275 -0.72825
107110063 -1.02727 0.52275 -0.73179
107110064 -1.02541 0.52275 -0.73533
107110065 -1.02354 0.52275 -0.73887
107110066 -1.02168 0.52275 -0.74241
107110067 -1.01981 0.52275 -0.74594
107110068 -1.01795 0.52275 -0.74948
107110069 -1.01608 0.52275 -0.75302
107110070 -1.01422 0.52275 -0.75656
107110071 -1.01235 0.52275 -0.76010
107110072 -1.01048 0.52275 -0.76364
107110073 -1.00862 0.52275 -0.76717
107110074 -1.00675 0.52275 -0.77071
107110075 -1.00489 0.52275 -0.77425
107110076 -1.00302 0.52275 -0.77779
107110077 -1.00116 0.52275 -0.78133
107110078 -0.99929 0.52275 -0.78487
107110079 -0.99743 0.52275 -0.78840
