# pixelID  x  y  z
104010001 -0.14631 0.50200 -2.00000
104010002 -0.14631 0.50600 -2.00000
104010003 -0.14631 0.51000 -2.00000
104010004 -0.14631 0.51400 -2.00000
104010005 -0.14631 0.51800 -2.00000
104010006 -0.14631 0.52200 -2.00000
104010007 -0.14631 0.52600 -2.00000
104010008 -0.14631 0.53000 -2.00000
104010009 -0.14631 0.53400 -2.00000
104010010 -0.14631 0.53800 -2.00000
104010011 -0.14631 0.54200 -2.00000
104010012 -0.14631 0.54600 -2.00000
104010013 -0.14631 0.55000 -2.00000
104010014 -0.14631 0.55400 -2.00000
104010015 -0.14631 0.55800 -2.00000
104010016 -0.14631 0.56200 -2.00000
104010017 -0.14631 0.56600 -2.00000
104010018 -0.14631 0.57000 -2.00000
104010019 -0.14631 0.57400 -2.00000
104010020 -0.14631 0.57800 -2.00000
104010021 -0.14631 0.58200 -2.00000
104010022 -0.14631 0.58600 -2.00000
104010023 -0.14631 0.59000 -2.00000
104010024 -0.14631 0.59400 -2.00000
104010025 -0.14631 0.59800 -2.00000
104010026 -0.14631 0.60200 -2.00000
104010027 -0.14631 0.60600 -2.00000
104010028 -0.14631 0.61000 -2.00000
104010029 -0.14631 0.61400 -2.00000
104010030 -0.14631 0.61800 -2.00000
104010031 -0.14631 0.62200 -2.00000
104010032 -0.14631 0.62600 -2.00000
104010033 -0.14631 0.63000 -2.00000
104010034 -0.14631 0.63400 -2.00000
104010035 -0.14631 0.63800 -2.00000
104010036 -0.14631 0.64200 -2.00000
104010037 -0.14631 0.64600 -2.00000
104010038 -0.14631 0.65000 -2.00000
104010039 -0.14631 0.65400 -2.00000
104010040 -0.14631 0.65800 -2.00000
104010041 -0.14631 0.66200 -2.00000
104010042 -0.14631 0.66600 -2.00000
104010043 -0.14631 0.67000 -2.00000
104010044 -0.14631 0.67400 -2.00000
104010045 -0.14631 0.67800 -2.00000
104010046 -0.14631 0.68200 -2.00000
104010047 -0.14631 0.68600 -2.00000
104010048 -0.14631 0.69000 -2.00000
104010049 -0.14631 0.69400 -2.00000
104010050 -0.14631 0.69800 -2.00000
104010051 -0.14631 0.70200 -2.00000
104010052 -0.14631 0.70600 -2.00000
104010053 -0.14631 0.71000 -2.00000
104010054 -0.14631 0.71400 -2.00000
104010055 -0.14631 0.71800 -2.00000
104010056 -0.14631 0.72200 -2.00000
104010057 -0.14631 0.72600 -2.00000
104010058 -0.14631 0.73000 -2.00000
104010059 -0.14631 0.73400 -2.00000
104010060 -0.14631 0.73800 -2.00000
104010061 -0.14631 0.74200 -2.00000
104010062 -0.14631 0.74600 -2.00000
104010063 -0.14631 0.75000 -2.00000
104010064 -0.14631 0.75400 -2.00000
104010065 -0.14631 0.75800 -2.00000
104010066 -0.14631 0.76200 -2.00000
104010067 -0.14631 0.76600 -2.00000
104010068 -0.14631 0.77000 -2.00000
104010069 -0.14631 0.77400 -2.00000
104010070 -0.14631 0.77800 -2.00000
104010071 -0.14631 0.78200 -2.00000
104010072 -0.14631 0.78600 -2.00000
104010073 -0.14631 0.79000 -2.00000
104010074 -0.14631 0.79400 -2.00000
104010075 -0.14631 0.79800 -2.00000
104010076 -0.14631 0.80200 -2.00000
104010077 -0.14631 0.80600 -2.00000
104010078 -0.14631 0.81000 -2.00000
104010079 -0.14631 0.81400 -2.00000
104010080 -0.14631 0.81800 -2.00000
104010081 -0.14631 0.82200 -2.00000
104010082 -0.14631 0.82600 -2.00000
104010083 -0.14631 0.83000 -2.00000
104010084 -0.14631 0.83400 -2.00000
104010085 -0.14631 0.83800 -2.00000
104010086 -0.14631 0.84200 -2.00000
104010087 -0.14631 0.84600 -2.00000
104010088 -0.14631 0.85000 -2.00000
104010089 -0.14631 0.85400 -2.00000
104010090 -0.14631 0.85800 -2.00000
104010091 -0.14631 0.86200 -2.00000
104010092 -0.14631 0.86600 -2.00000
