# pixelID   x   y   z   l2  two_theta   azimuthal   polar_width azimuthal_width
112050001 1.199236 0.283487 1.320750 1.806353 43.015490 13.299964 1.217013 2.508000
112050002 1.197860 0.283487 1.325557 1.808960 42.880625 13.314691 1.217148 2.504444
112050003 1.196485 0.283487 1.330364 1.811577 42.746150 13.329450 1.217267 2.500884
112050004 1.195110 0.283487 1.335171 1.814204 42.612066 13.344241 1.217371 2.497321
112050005 1.193735 0.283487 1.339978 1.816840 42.478373 13.359064 1.217460 2.493755
112050006 1.192359 0.283487 1.344786 1.819487 42.345070 13.373920 1.217533 2.490185
112050007 1.190984 0.283487 1.349593 1.822144 42.212156 13.388808 1.217592 2.486612
112050008 1.189609 0.283487 1.354400 1.824810 42.079633 13.403728 1.217636 2.483035
112050009 1.188233 0.283487 1.359207 1.827486 41.947498 13.418682 1.217664 2.479457
112050010 1.186858 0.283487 1.364014 1.830172 41.815753 13.433668 1.217679 2.475875
112050011 1.185483 0.283487 1.368821 1.832868 41.684396 13.448687 1.217679 2.472290
112050012 1.184107 0.283487 1.373628 1.835573 41.553428 13.463739 1.217664 2.468703
112050013 1.182732 0.283487 1.378435 1.838288 41.422848 13.478824 1.217635 2.465114
112050014 1.181357 0.283487 1.383243 1.841013 41.292656 13.493943 1.217593 2.461523
112050015 1.179981 0.283487 1.388050 1.843747 41.162852 13.509095 1.217536 2.457929
112050016 1.178606 0.283487 1.392857 1.846490 41.033434 13.524280 1.217466 2.454333
112050017 1.177231 0.283487 1.397664 1.849243 40.904403 13.539498 1.217382 2.450736
112050018 1.175855 0.283487 1.402471 1.852006 40.775758 13.554751 1.217284 2.447136
112050019 1.174480 0.283487 1.407278 1.854778 40.647499 13.570037 1.217173 2.443535
112050020 1.173105 0.283487 1.412085 1.857559 40.519626 13.585357 1.217049 2.439932
112050021 1.171729 0.283487 1.416892 1.860349 40.392137 13.600711 1.216912 2.436328
112050022 1.170354 0.283487 1.421700 1.863149 40.265034 13.616099 1.216762 2.432723
112050023 1.168979 0.283487 1.426507 1.865957 40.138314 13.631521 1.216599 2.429116
112050024 1.167603 0.283487 1.431314 1.868775 40.011977 13.646978 1.216423 2.425509
112050025 1.166228 0.283487 1.436121 1.871602 39.886024 13.662468 1.216235 2.421900
112050026 1.164853 0.283487 1.440928 1.874439 39.760454 13.677994 1.216035 2.418290
112050027 1.163477 0.283487 1.445735 1.877284 39.635265 13.693554 1.215822 2.414680
112050028 1.162102 0.283487 1.450542 1.880138 39.510458 13.709149 1.215597 2.411069
112050029 1.160727 0.283487 1.455350 1.883001 39.386033 13.724779 1.215360 2.407457
112050030 1.159351 0.283487 1.460157 1.885873 39.261987 13.740444 1.215111 2.403845
112050031 1.157976 0.283487 1.464964 1.888754 39.138322 13.756144 1.214850 2.400233
112050032 1.156601 0.283487 1.469771 1.891644 39.015036 13.771879 1.214577 2.396620
112050033 1.155225 0.283487 1.474578 1.894542 38.892128 13.787649 1.214294 2.393008
112050034 1.153850 0.283487 1.479385 1.897450 38.769599 13.803455 1.213998 2.389395
112050035 1.152475 0.283487 1.484192 1.900366 38.647448 13.819297 1.213692 2.385782
112050036 1.151099 0.283487 1.488999 1.903290 38.525673 13.835174 1.213374 2.382170
112050037 1.149724 0.283487 1.493807 1.906224 38.404275 13.851087 1.213046 2.378557
112050038 1.148349 0.283487 1.498614 1.909165 38.283253 13.867036 1.212706 2.374945
112050039 1.146973 0.283487 1.503421 1.912116 38.162605 13.883021 1.212356 2.371334
112050040 1.145598 0.283487 1.508228 1.915075 38.042332 13.899042 1.211995 2.367723
112050041 1.144223 0.283487 1.513035 1.918042 37.922433 13.915099 1.211624 2.364112
112050042 1.142847 0.283487 1.517842 1.921018 37.802907 13.931193 1.211242 2.360503
112050043 1.141472 0.283487 1.522649 1.924002 37.683754 13.947323 1.210850 2.356894
112050044 1.140097 0.283487 1.527456 1.926995 37.564972 13.963490 1.210448 2.353286
112050045 1.138721 0.283487 1.532264 1.929996 37.446561 13.979694 1.210036 2.349679
112050046 1.137346 0.283487 1.537071 1.933005 37.328521 13.995935 1.209614 2.346073
112050047 1.135971 0.283487 1.541878 1.936022 37.210851 14.012213 1.209182 2.342469
112050048 1.134595 0.283487 1.546685 1.939048 37.093549 14.028528 1.208741 2.338865
112050049 1.133220 0.283487 1.551492 1.942081 36.976615 14.044880 1.208290 2.335263
112050050 1.131845 0.283487 1.556299 1.945123 36.860049 14.061269 1.207829 2.331662
112050051 1.130470 0.283487 1.561106 1.948173 36.743850 14.077696 1.207360 2.328063
112050052 1.129094 0.283487 1.565913 1.951231 36.628017 14.094161 1.206881 2.324466
112050053 1.127719 0.283487 1.570721 1.954297 36.512549 14.110663 1.206393 2.320870
112050054 1.126344 0.283487 1.575528 1.957371 36.397445 14.127204 1.205896 2.317276
112050055 1.124968 0.283487 1.580335 1.960453 36.282706 14.143782 1.205391 2.313683
112050056 1.123593 0.283487 1.585142 1.963543 36.168329 14.160399 1.204877 2.310093
112050057 1.122218 0.283487 1.589949 1.966641 36.054314 14.177054 1.204354 2.306505
112050058 1.120842 0.283487 1.594756 1.969746 35.940661 14.193747 1.203822 2.302918
112050059 1.119467 0.283487 1.599563 1.972859 35.827368 14.210479 1.203283 2.299334
