# pixelID   x   y   z   l2  two_theta   azimuthal   polar_width azimuthal_width
110010001 0.894456 -0.741291 -0.249067 1.188106 102.100870 -39.650639 1.402631 3.759163
110010002 0.895632 -0.741291 -0.244207 1.187984 101.862539 -39.613648 1.388666 3.760004
110010003 0.896808 -0.741291 -0.239347 1.187882 101.624159 -39.576714 1.374655 3.760776
110010004 0.897985 -0.741291 -0.234488 1.187802 101.385737 -39.539838 1.360598 3.761479
110010005 0.899161 -0.741291 -0.229628 1.187742 101.147282 -39.503019 1.346497 3.762114
110010006 0.900337 -0.741291 -0.224768 1.187703 100.908803 -39.466258 1.332354 3.762680
110010007 0.901513 -0.741291 -0.219909 1.187686 100.670308 -39.429554 1.318170 3.763177
110010008 0.902690 -0.741291 -0.215049 1.187690 100.431807 -39.392906 1.303946 3.763605
110010009 0.903866 -0.741291 -0.210190 1.187714 100.193307 -39.356316 1.289684 3.763965
110010010 0.905042 -0.741291 -0.205330 1.187760 99.954817 -39.319783 1.275386 3.764255
110010011 0.906219 -0.741291 -0.200470 1.187827 99.716345 -39.283307 1.261053 3.764477
110010012 0.907395 -0.741291 -0.195611 1.187914 99.477901 -39.246887 1.246687 3.764629
110010013 0.908571 -0.741291 -0.190751 1.188023 99.239492 -39.210524 1.232288 3.764713
110010014 0.909748 -0.741291 -0.185891 1.188153 99.001128 -39.174217 1.217860 3.764728
110010015 0.910924 -0.741291 -0.181032 1.188304 98.762817 -39.137967 1.203402 3.764675
110010016 0.912100 -0.741291 -0.176172 1.188476 98.524566 -39.101773 1.188918 3.764552
110010017 0.913276 -0.741291 -0.171312 1.188669 98.286386 -39.065635 1.174408 3.764361
110010018 0.914453 -0.741291 -0.166453 1.188883 98.048284 -39.029553 1.159874 3.764102
110010019 0.915629 -0.741291 -0.161593 1.189118 97.810268 -38.993527 1.145317 3.763774
110010020 0.916805 -0.741291 -0.156733 1.189373 97.572348 -38.957558 1.130739 3.763378
110010021 0.917982 -0.741291 -0.151874 1.189650 97.334531 -38.921643 1.116142 3.762914
110010022 0.919158 -0.741291 -0.147014 1.189948 97.096826 -38.885785 1.101528 3.762381
110010023 0.920334 -0.741291 -0.142154 1.190267 96.859242 -38.849982 1.086897 3.761781
110010024 0.921511 -0.741291 -0.137295 1.190606 96.621786 -38.814235 1.072251 3.761113
110010025 0.922687 -0.741291 -0.132435 1.190967 96.384467 -38.778543 1.057593 3.760377
110010026 0.923863 -0.741291 -0.127575 1.191348 96.147294 -38.742906 1.042923 3.759574
110010027 0.925040 -0.741291 -0.122716 1.191750 95.910274 -38.707324 1.028243 3.758703
110010028 0.926216 -0.741291 -0.117856 1.192173 95.673416 -38.671798 1.013555 3.757766
110010029 0.927392 -0.741291 -0.112996 1.192617 95.436728 -38.636326 0.998860 3.756761
110010030 0.928568 -0.741291 -0.108137 1.193082 95.200218 -38.600909 0.984160 3.755690
110010031 0.929745 -0.741291 -0.103277 1.193567 94.963895 -38.565547 0.969456 3.754552
110010032 0.930921 -0.741291 -0.098417 1.194074 94.727766 -38.530240 0.954750 3.753348
110010033 0.932097 -0.741291 -0.093558 1.194600 94.491839 -38.494987 0.940044 3.752078
110010034 0.933274 -0.741291 -0.088698 1.195148 94.256123 -38.459789 0.925338 3.750743
110010035 0.934450 -0.741291 -0.083838 1.195716 94.020625 -38.424645 0.910635 3.749341
110010036 0.935626 -0.741291 -0.078979 1.196305 93.785353 -38.389555 0.895936 3.747875
110010037 0.936803 -0.741291 -0.074119 1.196915 93.550316 -38.354520 0.881243 3.746344
110010038 0.937979 -0.741291 -0.069259 1.197545 93.315520 -38.319538 0.866557 3.744747
110010039 0.939155 -0.741291 -0.064400 1.198195 93.080974 -38.284611 0.851880 3.743087
110010040 0.940331 -0.741291 -0.059540 1.198866 92.846686 -38.249737 0.837213 3.741362
110010041 0.941508 -0.741291 -0.054680 1.199558 92.612663 -38.214917 0.822557 3.739574
110010042 0.942684 -0.741291 -0.049821 1.200270 92.378912 -38.180151 0.807914 3.737722
110010043 0.943860 -0.741291 -0.044961 1.201002 92.145441 -38.145438 0.793287 3.735807
110010044 0.945037 -0.741291 -0.040101 1.201755 91.912259 -38.110779 0.778675 3.733829
110010045 0.946213 -0.741291 -0.035242 1.202528 91.679371 -38.076174 0.764080 3.731789
110010046 0.947389 -0.741291 -0.030382 1.203321 91.446786 -38.041621 0.749505 3.729687
110010047 0.948566 -0.741291 -0.025522 1.204134 91.214511 -38.007122 0.734950 3.727523
110010048 0.949742 -0.741291 -0.020663 1.204968 90.982553 -37.972675 0.720417 3.725297
110010049 0.950918 -0.741291 -0.015803 1.205822 90.750919 -37.938282 0.705907 3.723011
110010050 0.952095 -0.741291 -0.010943 1.206696 90.519616 -37.903942 0.691422 3.720664
110010051 0.953271 -0.741291 -0.006084 1.207590 90.288652 -37.869654 0.676962 3.718257
110010052 0.954447 -0.741291 -0.001224 1.208504 90.058034 -37.835419 0.662530 3.715790
110010053 0.955623 -0.741291 0.003636 1.209438 89.827768 -37.801237 0.668903 3.713263
110010054 0.956800 -0.741291 0.008495 1.210392 89.597861 -37.767107 0.682211 3.710678
110010055 0.957976 -0.741291 0.013355 1.211366 89.368320 -37.733030 0.695448 3.708033
110010056 0.959152 -0.741291 0.018215 1.212360 89.139152 -37.699005 0.708610 3.705331
110010057 0.960329 -0.741291 0.023074 1.213373 88.910364 -37.665032 0.721699 3.702571
110010058 0.961505 -0.741291 0.027934 1.214407 88.681961 -37.631111 0.734712 3.699754
110010059 0.962681 -0.741291 0.032794 1.215460 88.453951 -37.597243 0.747649 3.696879
110010060 0.963858 -0.741291 0.037653 1.216532 88.226340 -37.563426 0.760508 3.693949
110010061 0.965034 -0.741291 0.042513 1.217624 87.999134 -37.529661 0.773290 3.690962
110010062 0.966210 -0.741291 0.047373 1.218736 87.772340 -37.495947 0.785992 3.687920
110010063 0.967386 -0.741291 0.052232 1.219867 87.545963 -37.462286 0.798615 3.684823
110010064 0.968563 -0.741291 0.057092 1.221018 87.320010 -37.428676 0.811157 3.681671
110010065 0.969739 -0.741291 0.061952 1.222188 87.094488 -37.395117 0.823618 3.678466
110010066 0.970915 -0.741291 0.066811 1.223377 86.869401 -37.361610 0.835996 3.675206
110010067 0.972092 -0.741291 0.071671 1.224586 86.644756 -37.328154 0.848292 3.671894
110010068 0.973268 -0.741291 0.076531 1.225814 86.420558 -37.294749 0.860503 3.668529
110010069 0.974444 -0.741291 0.081390 1.227061 86.196814 -37.261395 0.872631 3.665112
110010070 0.975621 -0.741291 0.086250 1.228327 85.973529 -37.228092 0.884673 3.661643
110010071 0.976797 -0.741291 0.091109 1.229612 85.750709 -37.194840 0.896629 3.658123
110010072 0.977973 -0.741291 0.095969 1.230916 85.528359 -37.161639 0.908499 3.654552
