# pixelID   x   y   z   l2  two_theta   azimuthal   polar_width azimuthal_width
111050001 1.259680 0.121600 0.521137 1.368636 67.618552 5.513818 0.316441 3.299732
111050002 1.259680 0.121600 0.526137 1.370547 67.425272 5.513818 0.316735 3.295132
111050003 1.259680 0.121600 0.531137 1.372475 67.232533 5.513818 0.317018 3.290508
111050004 1.259680 0.121600 0.536137 1.374417 67.040337 5.513818 0.317292 3.285859
111050005 1.259680 0.121600 0.541137 1.376375 66.848686 5.513818 0.317556 3.281187
111050006 1.259680 0.121600 0.546137 1.378349 66.657581 5.513818 0.317810 3.276492
111050007 1.259680 0.121600 0.551137 1.380338 66.467024 5.513818 0.318054 3.271774
111050008 1.259680 0.121600 0.556137 1.382342 66.277019 5.513818 0.318288 3.267033
111050009 1.259680 0.121600 0.561137 1.384361 66.087565 5.513818 0.318513 3.262271
111050010 1.259680 0.121600 0.566137 1.386395 65.898665 5.513818 0.318728 3.257487
111050011 1.259680 0.121600 0.571137 1.388444 65.710321 5.513818 0.318933 3.252681
111050012 1.259680 0.121600 0.576137 1.390508 65.522534 5.513818 0.319129 3.247855
111050013 1.259680 0.121600 0.581137 1.392588 65.335305 5.513818 0.319316 3.243009
111050014 1.259680 0.121600 0.586137 1.394682 65.148637 5.513818 0.319493 3.238142
111050015 1.259680 0.121600 0.591137 1.396790 64.962531 5.513818 0.319661 3.233257
111050016 1.259680 0.121600 0.596137 1.398914 64.776987 5.513818 0.319820 3.228351
111050017 1.259680 0.121600 0.601137 1.401052 64.592008 5.513818 0.319970 3.223428
111050018 1.259680 0.121600 0.606137 1.403204 64.407595 5.513818 0.320111 3.218485
111050019 1.259680 0.121600 0.611137 1.405371 64.223748 5.513818 0.320243 3.213525
111050020 1.259680 0.121600 0.616137 1.407553 64.040469 5.513818 0.320366 3.208547
111050021 1.259680 0.121600 0.621137 1.409749 63.857760 5.513818 0.320480 3.203552
111050022 1.259680 0.121600 0.626137 1.411959 63.675620 5.513818 0.320585 3.198540
111050023 1.259680 0.121600 0.631137 1.414183 63.494052 5.513818 0.320682 3.193512
111050024 1.259680 0.121600 0.636137 1.416422 63.313056 5.513818 0.320770 3.188467
111050025 1.259680 0.121600 0.641137 1.418674 63.132633 5.513818 0.320849 3.183407
111050026 1.259680 0.121600 0.646137 1.420941 62.952783 5.513818 0.320920 3.178332
111050027 1.259680 0.121600 0.651137 1.423221 62.773508 5.513818 0.320983 3.173241
111050028 1.259680 0.121600 0.656137 1.425516 62.594809 5.513818 0.321037 3.168136
111050029 1.259680 0.121600 0.661137 1.427824 62.416686 5.513818 0.321084 3.163017
111050030 1.259680 0.121600 0.666137 1.430146 62.239139 5.513818 0.321122 3.157884
111050031 1.259680 0.121600 0.671137 1.432482 62.062170 5.513818 0.321152 3.152738
111050032 1.259680 0.121600 0.676137 1.434831 61.885778 5.513818 0.321174 3.147578
111050033 1.259680 0.121600 0.681137 1.437194 61.709965 5.513818 0.321188 3.142406
111050034 1.259680 0.121600 0.686137 1.439571 61.534731 5.513818 0.321194 3.137221
111050035 1.259680 0.121600 0.691137 1.441961 61.360076 5.513818 0.321192 3.132024
111050036 1.259680 0.121600 0.696137 1.444364 61.186000 5.513818 0.321183 3.126815
111050037 1.259680 0.121600 0.701137 1.446780 61.012505 5.513818 0.321166 3.121595
111050038 1.259680 0.121600 0.706137 1.449210 60.839589 5.513818 0.321142 3.116364
111050039 1.259680 0.121600 0.711137 1.451653 60.667254 5.513818 0.321110 3.111123
111050040 1.259680 0.121600 0.716137 1.454109 60.495500 5.513818 0.321071 3.105871
111050041 1.259680 0.121600 0.721137 1.456578 60.324326 5.513818 0.321024 3.100609
111050042 1.259680 0.121600 0.726137 1.459060 60.153733 5.513818 0.320970 3.095337
