# pixelID   x   y   z   l2  two_theta   azimuthal   polar_width azimuthal_width
107040001 -0.513989 0.228600 -1.226291 1.349160 155.357818 156.022569 1.420393 3.158689
107040002 -0.508989 0.228600 -1.226291 1.347263 155.534270 155.813922 1.434284 3.158840
107040003 -0.503989 0.228600 -1.226291 1.345382 155.710925 155.601835 1.448358 3.158839
107040004 -0.498989 0.228600 -1.226291 1.343517 155.887774 155.386229 1.462617 3.158684
107040005 -0.493989 0.228600 -1.226291 1.341668 156.064804 155.167021 1.477066 3.158368
107040006 -0.488989 0.228600 -1.226291 1.339835 156.242004 154.944129 1.491706 3.157888
107040007 -0.483989 0.228600 -1.226291 1.338018 156.419361 154.717464 1.506541 3.157238
107040008 -0.478989 0.228600 -1.226291 1.336218 156.596864 154.486937 1.521575 3.156412
107040009 -0.473989 0.228600 -1.226291 1.334433 156.774500 154.252457 1.536811 3.155407
107040010 -0.468989 0.228600 -1.226291 1.332666 156.952254 154.013929 1.552252 3.154215
107040011 -0.463989 0.228600 -1.226291 1.330914 157.130114 153.771256 1.567901 3.152832
107040012 -0.458989 0.228600 -1.226291 1.329179 157.308066 153.524337 1.583762 3.151250
107040013 -0.453989 0.228600 -1.226291 1.327461 157.486095 153.273070 1.599839 3.149465
107040014 -0.448989 0.228600 -1.226291 1.325759 157.664185 153.017349 1.616135 3.147470
107040015 -0.443989 0.228600 -1.226291 1.324074 157.842323 152.757064 1.632653 3.145257
107040016 -0.438989 0.228600 -1.226291 1.322406 158.020491 152.492104 1.649397 3.142821
107040017 -0.433989 0.228600 -1.226291 1.320755 158.198673 152.222353 1.666371 3.140153
107040018 -0.428989 0.228600 -1.226291 1.319120 158.376853 151.947692 1.683579 3.137247
107040019 -0.423989 0.228600 -1.226291 1.317503 158.555013 151.667999 1.701023 3.134094
107040020 -0.418989 0.228600 -1.226291 1.315902 158.733134 151.383148 1.718709 3.130687
107040021 -0.413989 0.228600 -1.226291 1.314319 158.911199 151.093010 1.736639 3.127018
107040022 -0.408989 0.228600 -1.226291 1.312752 159.089189 150.797450 1.754817 3.123077
107040023 -0.403989 0.228600 -1.226291 1.311203 159.267082 150.496333 1.773248 3.118856
107040024 -0.398989 0.228600 -1.226291 1.309671 159.444860 150.189516 1.791934 3.114346
107040025 -0.393989 0.228600 -1.226291 1.308157 159.622500 149.876855 1.810880 3.109536
107040026 -0.388989 0.228600 -1.226291 1.306660 159.799982 149.558200 1.830089 3.104417
107040027 -0.383989 0.228600 -1.226291 1.305180 159.977282 149.233398 1.849566 3.098978
107040028 -0.378989 0.228600 -1.226291 1.303718 160.154378 148.902290 1.869313 3.093209
107040029 -0.373989 0.228600 -1.226291 1.302273 160.331246 148.564714 1.889334 3.087098
107040030 -0.368989 0.228600 -1.226291 1.300846 160.507861 148.220502 1.909634 3.080634
107040031 -0.363989 0.228600 -1.226291 1.299436 160.684197 147.869482 1.930215 3.073804
107040032 -0.358989 0.228600 -1.226291 1.298045 160.860228 147.511478 1.951081 3.066595
107040033 -0.353989 0.228600 -1.226291 1.296671 161.035928 147.146307 1.972235 3.058996
107040034 -0.348989 0.228600 -1.226291 1.295315 161.211267 146.773784 1.993681 3.050992
107040035 -0.343989 0.228600 -1.226291 1.293977 161.386216 146.393716 2.015421 3.042568
107040036 -0.338989 0.228600 -1.226291 1.292656 161.560747 146.005905 2.037458 3.033711
107040037 -0.333989 0.228600 -1.226291 1.291354 161.734828 145.610151 2.059796 3.024405
107040038 -0.328989 0.228600 -1.226291 1.290070 161.908426 145.206244 2.082437 3.014634
107040039 -0.323989 0.228600 -1.226291 1.288804 162.081509 144.793973 2.105382 3.004381
107040040 -0.318989 0.228600 -1.226291 1.287556 162.254042 144.373118 2.128635 2.993631
107040041 -0.313989 0.228600 -1.226291 1.286327 162.425991 143.943455 2.152197 2.982364
107040042 -0.308989 0.228600 -1.226291 1.285115 162.597319 143.504755 2.176068 2.970563
107040043 -0.303989 0.228600 -1.226291 1.283922 162.767987 143.056783 2.200252 2.958209
107040044 -0.298989 0.228600 -1.226291 1.282748 162.937958 142.599298 2.224748 2.945281
107040045 -0.293989 0.228600 -1.226291 1.281591 163.107190 142.132054 2.249556 2.931760
107040046 -0.288989 0.228600 -1.226291 1.280454 163.275642 141.654801 2.274676 2.917624
107040047 -0.283989 0.228600 -1.226291 1.279334 163.443272 141.167280 2.300107 2.902851
107040048 -0.278989 0.228600 -1.226291 1.278234 163.610033 140.669230 2.325849 2.887418
107040049 -0.273989 0.228600 -1.226291 1.277152 163.775882 140.160383 2.351899 2.871303
107040050 -0.268989 0.228600 -1.226291 1.276089 163.940769 139.640469 2.378255 2.854480
107040051 -0.263989 0.228600 -1.226291 1.275044 164.104646 139.109211 2.404913 2.836925
107040052 -0.258989 0.228600 -1.226291 1.274018 164.267463 138.566326 2.431868 2.818612
107040053 -0.253989 0.228600 -1.226291 1.273011 164.429166 138.011531 2.459117 2.799514
107040054 -0.248989 0.228600 -1.226291 1.272023 164.589703 137.444536 2.486652 2.779604
107040055 -0.243989 0.228600 -1.226291 1.271054 164.749016 136.865050 2.514466 2.758853
107040056 -0.238989 0.228600 -1.226291 1.270103 164.907049 136.272777 2.542552 2.737233
