# pixelID   x   y   z   l2  two_theta   azimuthal   polar_width azimuthal_width
107020001 -0.513989 -0.199400 -1.226291 1.344520 155.792420 -158.796426 1.296228 3.222780
107020002 -0.508989 -0.199400 -1.226291 1.342616 155.973740 -158.606883 1.309171 3.223946
107020003 -0.503989 -0.199400 -1.226291 1.340729 156.155335 -158.414083 1.322295 3.224982
107020004 -0.498989 -0.199400 -1.226291 1.338857 156.337195 -158.217947 1.335605 3.225884
107020005 -0.493989 -0.199400 -1.226291 1.337002 156.519311 -158.018392 1.349104 3.226648
107020006 -0.488989 -0.199400 -1.226291 1.335163 156.701672 -157.815333 1.362796 3.227270
107020007 -0.483989 -0.199400 -1.226291 1.333340 156.884268 -157.608681 1.376684 3.227745
107020008 -0.478989 -0.199400 -1.226291 1.331533 157.067087 -157.398348 1.390772 3.228069
107020009 -0.473989 -0.199400 -1.226291 1.329742 157.250118 -157.184238 1.405065 3.228236
107020010 -0.468989 -0.199400 -1.226291 1.327968 157.433349 -156.966255 1.419567 3.228242
107020011 -0.463989 -0.199400 -1.226291 1.326211 157.616769 -156.744300 1.434280 3.228081
107020012 -0.458989 -0.199400 -1.226291 1.324470 157.800365 -156.518270 1.449211 3.227748
107020013 -0.453989 -0.199400 -1.226291 1.322745 157.984123 -156.288060 1.464362 3.227237
107020014 -0.448989 -0.199400 -1.226291 1.321038 158.168031 -156.053559 1.479738 3.226542
107020015 -0.443989 -0.199400 -1.226291 1.319347 158.352075 -155.814654 1.495344 3.225658
107020016 -0.438989 -0.199400 -1.226291 1.317672 158.536240 -155.571230 1.511185 3.224577
107020017 -0.433989 -0.199400 -1.226291 1.316015 158.720512 -155.323165 1.527264 3.223294
107020018 -0.428989 -0.199400 -1.226291 1.314375 158.904876 -155.070335 1.543587 3.221801
107020019 -0.423989 -0.199400 -1.226291 1.312751 159.089316 -154.812612 1.560158 3.220092
107020020 -0.418989 -0.199400 -1.226291 1.311145 159.273816 -154.549863 1.576983 3.218158
107020021 -0.413989 -0.199400 -1.226291 1.309556 159.458359 -154.281951 1.594066 3.215991
107020022 -0.408989 -0.199400 -1.226291 1.307984 159.642927 -154.008733 1.611413 3.213585
107020023 -0.403989 -0.199400 -1.226291 1.306429 159.827504 -153.730065 1.629028 3.210930
107020024 -0.398989 -0.199400 -1.226291 1.304891 160.012069 -153.445795 1.646918 3.208017
107020025 -0.393989 -0.199400 -1.226291 1.303371 160.196605 -153.155765 1.665086 3.204837
107020026 -0.388989 -0.199400 -1.226291 1.301869 160.381091 -152.859816 1.683539 3.201382
107020027 -0.383989 -0.199400 -1.226291 1.300383 160.565507 -152.557780 1.702282 3.197639
107020028 -0.378989 -0.199400 -1.226291 1.298916 160.749832 -152.249485 1.721321 3.193600
107020029 -0.373989 -0.199400 -1.226291 1.297466 160.934044 -151.934753 1.740661 3.189253
107020030 -0.368989 -0.199400 -1.226291 1.296033 161.118120 -151.613398 1.760309 3.184587
107020031 -0.363989 -0.199400 -1.226291 1.294619 161.302036 -151.285232 1.780268 3.179590
