# pixelID   x   y   z   l2  two_theta   azimuthal   polar_width azimuthal_width
105050001 -1.221301 0.121600 0.186257 1.241392 81.370830 174.314029 0.285943 3.642046
105050002 -1.220124 0.121600 0.181397 1.239514 81.584805 174.308583 0.284996 3.647531
105050003 -1.218948 0.121600 0.176537 1.237653 81.799425 174.303127 0.284031 3.652981
105050004 -1.217772 0.121600 0.171678 1.235810 82.014689 174.297660 0.283049 3.658396
105050005 -1.216595 0.121600 0.166818 1.233985 82.230592 174.292183 0.282048 3.663775
105050006 -1.215419 0.121600 0.161959 1.232177 82.447133 174.286695 0.281030 3.669117
105050007 -1.214243 0.121600 0.157099 1.230387 82.664307 174.281197 0.279994 3.674423
105050008 -1.213066 0.121600 0.152239 1.228614 82.882110 174.275688 0.278939 3.679691
105050009 -1.211890 0.121600 0.147380 1.226860 83.100540 174.270168 0.277867 3.684920
105050010 -1.210714 0.121600 0.142520 1.225123 83.319592 174.264638 0.276777 3.690110
105050011 -1.209537 0.121600 0.137660 1.223404 83.539264 174.259098 0.275668 3.695261
105050012 -1.208361 0.121600 0.132801 1.221703 83.759550 174.253546 0.274541 3.700372
105050013 -1.207185 0.121600 0.127941 1.220021 83.980447 174.247984 0.273396 3.705441
105050014 -1.206008 0.121600 0.123081 1.218356 84.201951 174.242412 0.272233 3.710469
105050015 -1.204832 0.121600 0.118222 1.216710 84.424058 174.236828 0.271051 3.715455
105050016 -1.203656 0.121600 0.113362 1.215082 84.646763 174.231234 0.269851 3.720399
105050017 -1.202479 0.121600 0.108502 1.213473 84.870063 174.225628 0.268633 3.725299
105050018 -1.201303 0.121600 0.103643 1.211882 85.093952 174.220012 0.267396 3.730155
105050019 -1.200127 0.121600 0.098783 1.210309 85.318426 174.214385 0.266140 3.734966
105050020 -1.198950 0.121600 0.093923 1.208756 85.543481 174.208748 0.264867 3.739732
105050021 -1.197774 0.121600 0.089064 1.207221 85.769112 174.203099 0.263574 3.744453
105050022 -1.196598 0.121600 0.084204 1.205704 85.995314 174.197439 0.262263 3.749127
105050023 -1.195421 0.121600 0.079344 1.204207 86.222083 174.191768 0.260934 3.753754
105050024 -1.194245 0.121600 0.074485 1.202728 86.449412 174.186086 0.259586 3.758333
105050025 -1.193069 0.121600 0.069625 1.201269 86.677297 174.180393 0.258219 3.762864
105050026 -1.191892 0.121600 0.064765 1.199829 86.905733 174.174689 0.256834 3.767346
105050027 -1.190716 0.121600 0.059906 1.198407 87.134715 174.168974 0.255430 3.771778
105050028 -1.189540 0.121600 0.055046 1.197005 87.364236 174.163247 0.254008 3.776161
105050029 -1.188363 0.121600 0.050186 1.195622 87.594293 174.157509 0.252567 3.780492
105050030 -1.187187 0.121600 0.045327 1.194259 87.824878 174.151760 0.251108 3.784773
105050031 -1.186011 0.121600 0.040467 1.192915 88.055987 174.146000 0.249630 3.789001
105050032 -1.184834 0.121600 0.035607 1.191590 88.287614 174.140229 0.248133 3.793177
105050033 -1.183658 0.121600 0.030748 1.190285 88.519752 174.134446 0.246619 3.797300
105050034 -1.182482 0.121600 0.025888 1.188999 88.752396 174.128651 0.245085 3.801369
105050035 -1.181305 0.121600 0.021029 1.187734 88.985540 174.122846 0.243534 3.805384
105050036 -1.180129 0.121600 0.016169 1.186488 89.219177 174.117029 0.241964 3.809345
105050037 -1.178953 0.121600 0.011309 1.185261 89.453302 174.111200 0.240375 3.813249
105050038 -1.177776 0.121600 0.006450 1.184055 89.687908 174.105360 0.238769 3.817098
105050039 -1.176600 0.121600 0.001590 1.182868 89.922988 174.099508 0.237144 3.820891
105050040 -1.175424 0.121600 -0.003270 1.181701 90.158537 174.093645 0.238027 3.824626
105050041 -1.174247 0.121600 -0.008129 1.180555 90.394547 174.087770 0.240139 3.828304
105050042 -1.173071 0.121600 -0.012989 1.179428 90.631012 174.081883 0.242253 3.831923
105050043 -1.171895 0.121600 -0.017849 1.178322 90.867925 174.075985 0.244370 3.835484
105050044 -1.170718 0.121600 -0.022708 1.177236 91.105280 174.070075 0.246490 3.838985
105050045 -1.169542 0.121600 -0.027568 1.176170 91.343068 174.064153 0.248611 3.842427
105050046 -1.168366 0.121600 -0.032428 1.175124 91.581284 174.058220 0.250734 3.845809
105050047 -1.167189 0.121600 -0.037287 1.174099 91.819920 174.052274 0.252860 3.849129
105050048 -1.166013 0.121600 -0.042147 1.173094 92.058969 174.046317 0.254986 3.852389
105050049 -1.164837 0.121600 -0.047007 1.172110 92.298424 174.040348 0.257114 3.855587
105050050 -1.163660 0.121600 -0.051866 1.171146 92.538277 174.034367 0.259243 3.858722
105050051 -1.162484 0.121600 -0.056726 1.170202 92.778521 174.028373 0.261373 3.861794
105050052 -1.161308 0.121600 -0.061586 1.169280 93.019149 174.022368 0.263503 3.864804
105050053 -1.160131 0.121600 -0.066445 1.168378 93.260152 174.016351 0.265634 3.867749
105050054 -1.158955 0.121600 -0.071305 1.167496 93.501523 174.010322 0.267765 3.870630
105050055 -1.157779 0.121600 -0.076165 1.166636 93.743254 174.004281 0.269897 3.873447
105050056 -1.156602 0.121600 -0.081024 1.165796 93.985338 173.998227 0.272027 3.876199
105050057 -1.155426 0.121600 -0.085884 1.164977 94.227767 173.992161 0.274158 3.878885
105050058 -1.154250 0.121600 -0.090744 1.164179 94.470532 173.986084 0.276287 3.881505
105050059 -1.153073 0.121600 -0.095603 1.163402 94.713626 173.979993 0.278416 3.884058
105050060 -1.151897 0.121600 -0.100463 1.162646 94.957041 173.973891 0.280544 3.886545
105050061 -1.150721 0.121600 -0.105323 1.161911 95.200767 173.967776 0.282670 3.888965
105050062 -1.149544 0.121600 -0.110182 1.161197 95.444798 173.961649 0.284794 3.891317
105050063 -1.148368 0.121600 -0.115042 1.160504 95.689124 173.955509 0.286917 3.893601
105050064 -1.147192 0.121600 -0.119901 1.159833 95.933738 173.949357 0.289037 3.895817
105050065 -1.146015 0.121600 -0.124761 1.159182 96.178631 173.943193 0.291156 3.897964
105050066 -1.144839 0.121600 -0.129621 1.158553 96.423795 173.937016 0.293271 3.900042
105050067 -1.143663 0.121600 -0.134480 1.157945 96.669220 173.930826 0.295384 3.902050
105050068 -1.142487 0.121600 -0.139340 1.157358 96.914898 173.924624 0.297494 3.903989
105050069 -1.141310 0.121600 -0.144200 1.156793 97.160822 173.918409 0.299601 3.905858
105050070 -1.140134 0.121600 -0.149059 1.156248 97.406981 173.912181 0.301704 3.907656
105050071 -1.138958 0.121600 -0.153919 1.155726 97.653367 173.905941 0.303803 3.909383
105050072 -1.137781 0.121600 -0.158779 1.155224 97.899972 173.899688 0.305899 3.911040
105050073 -1.136605 0.121600 -0.163638 1.154744 98.146786 173.893422 0.307990 3.912626
105050074 -1.135429 0.121600 -0.168498 1.154286 98.393800 173.887143 0.310077 3.914139
105050075 -1.134252 0.121600 -0.173358 1.153849 98.641006 173.880852 0.312159 3.915582
105050076 -1.133076 0.121600 -0.178217 1.153434 98.888395 173.874547 0.314236 3.916952
105050077 -1.131900 0.121600 -0.183077 1.153040 99.135958 173.868230 0.316308 3.918249
105050078 -1.130723 0.121600 -0.187937 1.152667 99.383684 173.861900 0.318375 3.919475
105050079 -1.129547 0.121600 -0.192796 1.152316 99.631567 173.855556 0.320436 3.920627
105050080 -1.128371 0.121600 -0.197656 1.151987 99.879595 173.849200 0.322491 3.921707
105050081 -1.127194 0.121600 -0.202516 1.151680 100.127760 173.842830 0.324541 3.922714
105050082 -1.126018 0.121600 -0.207375 1.151394 100.376054 173.836447 0.326584 3.923647
105050083 -1.124842 0.121600 -0.212235 1.151129 100.624465 173.830051 0.328620 3.924507
105050084 -1.123665 0.121600 -0.217095 1.150887 100.872986 173.823642 0.330650 3.925294
105050085 -1.122489 0.121600 -0.221954 1.150666 101.121608 173.817219 0.332672 3.926007
105050086 -1.121313 0.121600 -0.226814 1.150466 101.370319 173.810784 0.334688 3.926646
105050087 -1.120136 0.121600 -0.231674 1.150289 101.619112 173.804334 0.336696 3.927211
105050088 -1.118960 0.121600 -0.236533 1.150133 101.867978 173.797872 0.338696 3.927701
105050089 -1.117784 0.121600 -0.241393 1.149999 102.116905 173.791396 0.340689 3.928118
105050090 -1.116607 0.121600 -0.246253 1.149886 102.365886 173.784906 0.342673 3.928461
105050091 -1.115431 0.121600 -0.251112 1.149796 102.614911 173.778403 0.344649 3.928729
105050092 -1.114255 0.121600 -0.255972 1.149727 102.863970 173.771887 0.346617 3.928923
105050093 -1.113078 0.121600 -0.260831 1.149679 103.113055 173.765356 0.348576 3.929043
105050094 -1.111902 0.121600 -0.265691 1.149654 103.362154 173.758812 0.350526 3.929088
105050095 -1.110726 0.121600 -0.270551 1.149650 103.611260 173.752255 0.352467 3.929059
105050096 -1.109549 0.121600 -0.275410 1.149668 103.860363 173.745684 0.354398 3.928956
105050097 -1.108373 0.121600 -0.280270 1.149708 104.109453 173.739099 0.356320 3.928778
105050098 -1.107197 0.121600 -0.285130 1.149769 104.358521 173.732500 0.358232 3.928526
105050099 -1.106020 0.121600 -0.289989 1.149853 104.607557 173.725887 0.360134 3.928199
105050100 -1.104844 0.121600 -0.294849 1.149958 104.856553 173.719260 0.362026 3.927798
105050101 -1.221301 0.148000 0.186257 1.244255 81.390840 173.090458 0.296720 3.626379
105050102 -1.220124 0.148000 0.181397 1.242382 81.604369 173.083860 0.295518 3.631800
105050103 -1.218948 0.148000 0.176537 1.240526 81.818541 173.077251 0.294295 3.637186
105050104 -1.217772 0.148000 0.171678 1.238687 82.033352 173.070629 0.293053 3.642537
105050105 -1.216595 0.148000 0.166818 1.236866 82.248798 173.063994 0.291791 3.647853
105050106 -1.215419 0.148000 0.161959 1.235062 82.464877 173.057346 0.290509 3.653132
105050107 -1.214243 0.148000 0.157099 1.233276 82.681585 173.050686 0.289206 3.658374
105050108 -1.213066 0.148000 0.152239 1.231507 82.898918 173.044013 0.287883 3.663578
105050109 -1.211890 0.148000 0.147380 1.229757 83.116874 173.037328 0.286539 3.668745
105050110 -1.210714 0.148000 0.142520 1.228024 83.335447 173.030629 0.285175 3.673872
