# pixelID   x   y   z   l2  two_theta   azimuthal   polar_width azimuthal_width
105070001 -1.099042 0.579590 0.215851 1.261114 80.144800 152.194669 1.138750 3.602226
105070002 -1.097866 0.579590 0.210991 1.259266 80.354547 152.169344 1.130056 3.607544
105070003 -1.096689 0.579590 0.206131 1.257435 80.564909 152.143977 1.121269 3.612828
105070004 -1.095513 0.579590 0.201272 1.255621 80.775884 152.118568 1.112389 3.618077
105070005 -1.094337 0.579590 0.196412 1.253824 80.987468 152.093115 1.103416 3.623291
105070006 -1.093160 0.579590 0.191552 1.252045 81.199658 152.067620 1.094349 3.628469
105070007 -1.091984 0.579590 0.186693 1.250283 81.412450 152.042082 1.085189 3.633609
105070008 -1.090808 0.579590 0.181833 1.248539 81.625842 152.016501 1.075937 3.638713
105070009 -1.089631 0.579590 0.176974 1.246812 81.839830 151.990877 1.066591 3.643779
105070010 -1.088455 0.579590 0.172114 1.245103 82.054410 151.965210 1.057153 3.648806
105070011 -1.087279 0.579590 0.167254 1.243412 82.269578 151.939499 1.047623 3.653794
105070012 -1.086102 0.579590 0.162395 1.241738 82.485331 151.913746 1.037999 3.658743
105070013 -1.084926 0.579590 0.157535 1.240083 82.701664 151.887948 1.028284 3.663652
105070014 -1.083749 0.579590 0.152675 1.238445 82.918574 151.862108 1.018476 3.668519
105070015 -1.082573 0.579590 0.147816 1.236826 83.136057 151.836223 1.008577 3.673346
105070016 -1.081397 0.579590 0.142956 1.235225 83.354108 151.810295 0.998586 3.678130
105070017 -1.080220 0.579590 0.138096 1.233641 83.572724 151.784323 0.988504 3.682872
105070018 -1.079044 0.579590 0.133237 1.232077 83.791899 151.758307 0.978330 3.687570
105070019 -1.077868 0.579590 0.128377 1.230530 84.011630 151.732247 0.968066 3.692225
105070020 -1.076691 0.579590 0.123517 1.229002 84.231911 151.706142 0.957712 3.696836
105070021 -1.075515 0.579590 0.118658 1.227492 84.452739 151.679994 0.947267 3.701402
105070022 -1.074339 0.579590 0.113798 1.226001 84.674109 151.653801 0.936732 3.705922
105070023 -1.073162 0.579590 0.108938 1.224528 84.896016 151.627563 0.926109 3.710396
105070024 -1.071986 0.579590 0.104079 1.223074 85.118455 151.601281 0.915396 3.714823
105070025 -1.070810 0.579590 0.099219 1.221639 85.341421 151.574955 0.904595 3.719204
105070026 -1.069633 0.579590 0.094359 1.220223 85.564908 151.548583 0.893705 3.723536
105070027 -1.068457 0.579590 0.089500 1.218825 85.788913 151.522167 0.882728 3.727820
105070028 -1.067281 0.579590 0.084640 1.217447 86.013430 151.495706 0.871664 3.732055
105070029 -1.066104 0.579590 0.079780 1.216087 86.238452 151.469200 0.860514 3.736241
105070030 -1.064928 0.579590 0.074921 1.214747 86.463976 151.442648 0.849277 3.740377
105070031 -1.063752 0.579590 0.070061 1.213425 86.689996 151.416051 0.837955 3.744462
105070032 -1.062575 0.579590 0.065202 1.212123 86.916505 151.389409 0.826548 3.748496
105070033 -1.061399 0.579590 0.060342 1.210840 87.143498 151.362721 0.815057 3.752478
105070034 -1.060223 0.579590 0.055482 1.209576 87.370970 151.335988 0.803482 3.756408
105070035 -1.059046 0.579590 0.050623 1.208332 87.598915 151.309209 0.791825 3.760285
105070036 -1.057870 0.579590 0.045763 1.207107 87.827327 151.282384 0.780084 3.764108
105070037 -1.056694 0.579590 0.040903 1.205902 88.056199 151.255513 0.768263 3.767878
105070038 -1.055517 0.579590 0.036044 1.204716 88.285526 151.228597 0.756360 3.771593
105070039 -1.054341 0.579590 0.031184 1.203550 88.515302 151.201634 0.744377 3.775254
105070040 -1.053165 0.579590 0.026324 1.202403 88.745520 151.174624 0.732315 3.778859
105070041 -1.051988 0.579590 0.021465 1.201276 88.976174 151.147569 0.720174 3.782408
105070042 -1.050812 0.579590 0.016605 1.200169 89.207257 151.120467 0.707956 3.785900
105070043 -1.049636 0.579590 0.011745 1.199082 89.438764 151.093318 0.695660 3.789335
105070044 -1.048459 0.579590 0.006886 1.198014 89.670687 151.066123 0.683288 3.792713
105070045 -1.047283 0.579590 0.002026 1.196967 89.903020 151.038881 0.670842 3.796033
105070046 -1.046107 0.579590 -0.002834 1.195940 90.135755 151.011592 0.673601 3.799295
105070047 -1.044930 0.579590 -0.007693 1.194932 90.368888 150.984256 0.687294 3.802497
105070048 -1.043754 0.579590 -0.012553 1.193945 90.602409 150.956873 0.701018 3.805640
105070049 -1.042578 0.579590 -0.017413 1.192978 90.836314 150.929443 0.714769 3.808723
105070050 -1.041401 0.579590 -0.022272 1.192031 91.070593 150.901966 0.728548 3.811746
105070051 -1.040225 0.579590 -0.027132 1.191104 91.305241 150.874441 0.742352 3.814707
105070052 -1.039049 0.579590 -0.031992 1.190197 91.540250 150.846868 0.756181 3.817608
105070053 -1.037872 0.579590 -0.036851 1.189311 91.775613 150.819248 0.770033 3.820447
105070054 -1.036696 0.579590 -0.041711 1.188445 92.011322 150.791580 0.783907 3.823223
105070055 -1.035520 0.579590 -0.046571 1.187600 92.247371 150.763864 0.797800 3.825937
105070056 -1.034343 0.579590 -0.051430 1.186775 92.483751 150.736100 0.811713 3.828588
105070057 -1.033167 0.579590 -0.056290 1.185971 92.720456 150.708288 0.825644 3.831176
105070058 -1.031991 0.579590 -0.061149 1.185187 92.957477 150.680428 0.839591 3.833700
105070059 -1.030814 0.579590 -0.066009 1.184424 93.194807 150.652520 0.853552 3.836159
105070060 -1.029638 0.579590 -0.070869 1.183681 93.432438 150.624563 0.867527 3.838554
105070061 -1.028462 0.579590 -0.075728 1.182959 93.670362 150.596557 0.881513 3.840884
105070062 -1.027285 0.579590 -0.080588 1.182258 93.908572 150.568503 0.895510 3.843149
105070063 -1.026109 0.579590 -0.085448 1.181577 94.147060 150.540400 0.909516 3.845347
105070064 -1.024933 0.579590 -0.090307 1.180918 94.385817 150.512249 0.923530 3.847480
105070065 -1.023756 0.579590 -0.095167 1.180279 94.624836 150.484048 0.937550 3.849547
105070066 -1.022580 0.579590 -0.100027 1.179661 94.864108 150.455798 0.951574 3.851546
105070067 -1.021404 0.579590 -0.104886 1.179063 95.103626 150.427499 0.965601 3.853479
105070068 -1.020227 0.579590 -0.109746 1.178487 95.343382 150.399150 0.979630 3.855344
105070069 -1.019051 0.579590 -0.114606 1.177932 95.583366 150.370752 0.993659 3.857142
105070070 -1.017875 0.579590 -0.119465 1.177397 95.823571 150.342305 1.007686 3.858871
105070071 -1.016698 0.579590 -0.124325 1.176884 96.063988 150.313808 1.021711 3.860533
105070072 -1.015522 0.579590 -0.129185 1.176392 96.304610 150.285260 1.035731 3.862125
105070073 -1.014346 0.579590 -0.134044 1.175920 96.545427 150.256664 1.049746 3.863649
105070074 -1.013169 0.579590 -0.138904 1.175470 96.786431 150.228016 1.063752 3.865104
105070075 -1.011993 0.579590 -0.143764 1.175041 97.027614 150.199319 1.077750 3.866490
105070076 -1.010817 0.579590 -0.148623 1.174633 97.268967 150.170572 1.091737 3.867806
105070077 -1.009640 0.579590 -0.153483 1.174246 97.510481 150.141774 1.105712 3.869053
105070078 -1.008464 0.579590 -0.158343 1.173881 97.752149 150.112926 1.119674 3.870229
105070079 -1.007288 0.579590 -0.163202 1.173536 97.993961 150.084027 1.133620 3.871335
105070080 -1.006111 0.579590 -0.168062 1.173213 98.235908 150.055077 1.147550 3.872371
105070081 -1.004935 0.579590 -0.172921 1.172911 98.477982 150.026076 1.161461 3.873337
105070082 -1.003758 0.579590 -0.177781 1.172630 98.720175 149.997024 1.175353 3.874232
105070083 -1.002582 0.579590 -0.182641 1.172371 98.962477 149.967922 1.189223 3.875056
105070084 -1.001406 0.579590 -0.187500 1.172132 99.204879 149.938768 1.203071 3.875809
105070085 -1.000229 0.579590 -0.192360 1.171915 99.447374 149.909562 1.216894 3.876490
105070086 -0.999053 0.579590 -0.197220 1.171720 99.689951 149.880306 1.230692 3.877101
105070087 -0.997877 0.579590 -0.202079 1.171545 99.932603 149.850997 1.244462 3.877640
