# pixelID   x   y   z   l2  two_theta   azimuthal   polar_width azimuthal_width
103030001 -1.074520 -0.199400 1.805130 2.110177 31.191631 -169.487141 0.437230 2.121398
103030002 -1.075896 -0.199400 1.800323 2.106768 31.290799 -169.500281 0.437330 2.124910
103030003 -1.077271 -0.199400 1.795515 2.103366 31.390289 -169.513388 0.437429 2.128428
103030004 -1.078646 -0.199400 1.790708 2.099970 31.490103 -169.526463 0.437528 2.131949
103030005 -1.080022 -0.199400 1.785901 2.096581 31.590241 -169.539505 0.437625 2.135476
103030006 -1.081397 -0.199400 1.781094 2.093197 31.690704 -169.552516 0.437720 2.139007
103030007 -1.082772 -0.199400 1.776287 2.089821 31.791494 -169.565495 0.437815 2.142542
103030008 -1.084147 -0.199400 1.771480 2.086451 31.892611 -169.578441 0.437909 2.146082
103030009 -1.085523 -0.199400 1.766673 2.083087 31.994056 -169.591356 0.438001 2.149626
103030010 -1.086898 -0.199400 1.761866 2.079730 32.095830 -169.604240 0.438092 2.153175
103030011 -1.088273 -0.199400 1.757058 2.076380 32.197935 -169.617092 0.438182 2.156728
103030012 -1.089649 -0.199400 1.752251 2.073036 32.300370 -169.629912 0.438270 2.160285
103030013 -1.091024 -0.199400 1.747444 2.069699 32.403137 -169.642701 0.438357 2.163846
103030014 -1.092399 -0.199400 1.742637 2.066369 32.506238 -169.655460 0.438443 2.167411
103030015 -1.093775 -0.199400 1.737830 2.063045 32.609671 -169.668187 0.438527 2.170981
103030016 -1.095150 -0.199400 1.733023 2.059729 32.713440 -169.680883 0.438610 2.174555
103030017 -1.096525 -0.199400 1.728216 2.056419 32.817545 -169.693548 0.438692 2.178132
103030018 -1.097901 -0.199400 1.723409 2.053116 32.921985 -169.706183 0.438772 2.181714
103030019 -1.099276 -0.199400 1.718601 2.049819 33.026764 -169.718787 0.438850 2.185299
103030020 -1.100651 -0.199400 1.713794 2.046530 33.131881 -169.731360 0.438927 2.188889
103030021 -1.102027 -0.199400 1.708987 2.043247 33.237337 -169.743903 0.439002 2.192482
103030022 -1.103402 -0.199400 1.704180 2.039972 33.343134 -169.756416 0.439076 2.196079
103030023 -1.104777 -0.199400 1.699373 2.036704 33.449271 -169.768898 0.439149 2.199680
103030024 -1.106153 -0.199400 1.694566 2.033442 33.555751 -169.781351 0.439219 2.203284
103030025 -1.107528 -0.199400 1.689759 2.030188 33.662574 -169.793774 0.439288 2.206892
103030026 -1.108903 -0.199400 1.684952 2.026941 33.769741 -169.806166 0.439355 2.210504
103030027 -1.110279 -0.199400 1.680144 2.023701 33.877252 -169.818529 0.439421 2.214119
103030028 -1.111654 -0.199400 1.675337 2.020468 33.985109 -169.830863 0.439484 2.217737
103030029 -1.113029 -0.199400 1.670530 2.017242 34.093313 -169.843167 0.439546 2.221359
103030030 -1.114405 -0.199400 1.665723 2.014024 34.201864 -169.855441 0.439606 2.224984
103030031 -1.115780 -0.199400 1.660916 2.010812 34.310763 -169.867686 0.439664 2.228612
103030032 -1.117155 -0.199400 1.656109 2.007609 34.420012 -169.879902 0.439721 2.232244
103030033 -1.118531 -0.199400 1.651302 2.004412 34.529611 -169.892089 0.439775 2.235878
103030034 -1.119906 -0.199400 1.646494 2.001223 34.639560 -169.904246 0.439827 2.239516
103030035 -1.121281 -0.199400 1.641687 1.998041 34.749862 -169.916375 0.439878 2.243157
103030036 -1.122657 -0.199400 1.636880 1.994867 34.860515 -169.928475 0.439926 2.246800
103030037 -1.124032 -0.199400 1.632073 1.991700 34.971523 -169.940547 0.439973 2.250447
103030038 -1.125407 -0.199400 1.627266 1.988541 35.082885 -169.952589 0.440017 2.254096
103030039 -1.126783 -0.199400 1.622459 1.985390 35.194602 -169.964604 0.440059 2.257748
103030040 -1.128158 -0.199400 1.617652 1.982246 35.306675 -169.976589 0.440099 2.261403
103030041 -1.129533 -0.199400 1.612845 1.979109 35.419105 -169.988547 0.440137 2.265060
103030042 -1.130909 -0.199400 1.608037 1.975981 35.531892 -170.000476 0.440172 2.268720
103030043 -1.132284 -0.199400 1.603230 1.972860 35.645038 -170.012377 0.440206 2.272382
103030044 -1.133659 -0.199400 1.598423 1.969746 35.758543 -170.024251 0.440237 2.276047
103030045 -1.135035 -0.199400 1.593616 1.966641 35.872408 -170.036096 0.440266 2.279714
103030046 -1.136410 -0.199400 1.588809 1.963543 35.986635 -170.047913 0.440292 2.283383
103030047 -1.137785 -0.199400 1.584002 1.960453 36.101222 -170.059703 0.440316 2.287054
