# pixelID  x  y  z
110120001 -0.14625 0.63275 1.74185
110120002 -0.14874 0.63275 1.73872
110120003 -0.15124 0.63275 1.73559
110120004 -0.15373 0.63275 1.73247
110120005 -0.15622 0.63275 1.72934
110120006 -0.15872 0.63275 1.72621
110120007 -0.16121 0.63275 1.72308
110120008 -0.16370 0.63275 1.71995
110120009 -0.16619 0.63275 1.71683
110120010 -0.16869 0.63275 1.71370
110120011 -0.17118 0.63275 1.71057
110120012 -0.17367 0.63275 1.70744
110120013 -0.17617 0.63275 1.70431
110120014 -0.17866 0.63275 1.70119
110120015 -0.18115 0.63275 1.69806
110120016 -0.18365 0.63275 1.69493
110120017 -0.18614 0.63275 1.69180
110120018 -0.18863 0.63275 1.68867
110120019 -0.19113 0.63275 1.68555
110120020 -0.19362 0.63275 1.68242
110120021 -0.19611 0.63275 1.67929
110120022 -0.19860 0.63275 1.67616
110120023 -0.20110 0.63275 1.67303
110120024 -0.20359 0.63275 1.66991
110120025 -0.20608 0.63275 1.66678
110120026 -0.20858 0.63275 1.66365
110120027 -0.21107 0.63275 1.66052
110120028 -0.21356 0.63275 1.65739
110120029 -0.21606 0.63275 1.65426
110120030 -0.21855 0.63275 1.65114
110120031 -0.22104 0.63275 1.64801
110120032 -0.22353 0.63275 1.64488
110120033 -0.22603 0.63275 1.64175
110120034 -0.22852 0.63275 1.63862
110120035 -0.23101 0.63275 1.63550
110120036 -0.23351 0.63275 1.63237
110120037 -0.23600 0.63275 1.62924
110120038 -0.23849 0.63275 1.62611
110120039 -0.24099 0.63275 1.62298
110120040 -0.24348 0.63275 1.61986
110120041 -0.24597 0.63275 1.61673
110120042 -0.24847 0.63275 1.61360
110120043 -0.25096 0.63275 1.61047
110120044 -0.25345 0.63275 1.60734
110120045 -0.25594 0.63275 1.60422
110120046 -0.25844 0.63275 1.60109
110120047 -0.26093 0.63275 1.59796
110120048 -0.26342 0.63275 1.59483
110120049 -0.26592 0.63275 1.59170
110120050 -0.26841 0.63275 1.58858
110120051 -0.27090 0.63275 1.58545
110120052 -0.27340 0.63275 1.58232
110120053 -0.27589 0.63275 1.57919
110120054 -0.27838 0.63275 1.57606
110120055 -0.28088 0.63275 1.57294
110120056 -0.28337 0.63275 1.56981
110120057 -0.28586 0.63275 1.56668
110120058 -0.28835 0.63275 1.56355
110120059 -0.29085 0.63275 1.56042
110120060 -0.29334 0.63275 1.55730
110120061 -0.29583 0.63275 1.55417
110120062 -0.29833 0.63275 1.55104
110120063 -0.30082 0.63275 1.54791
110120064 -0.30331 0.63275 1.54478
110120065 -0.30581 0.63275 1.54166
110120066 -0.30830 0.63275 1.53853
110120067 -0.31079 0.63275 1.53540
110120068 -0.31329 0.63275 1.53227
110120069 -0.31578 0.63275 1.52914
110120070 -0.31827 0.63275 1.52602
110120071 -0.32076 0.63275 1.52289
110120072 -0.32326 0.63275 1.51976
110120073 -0.32575 0.63275 1.51663
110120074 -0.32824 0.63275 1.51350
110120075 -0.33074 0.63275 1.51037
110120076 -0.33323 0.63275 1.50725
110120077 -0.33572 0.63275 1.50412
110120078 -0.33822 0.63275 1.50099
110120079 -0.34071 0.63275 1.49786
110120080 -0.34320 0.63275 1.49473
110120081 -0.34569 0.63275 1.49161
110120082 -0.34819 0.63275 1.48848
110120083 -0.35068 0.63275 1.48535
110120084 -0.35317 0.63275 1.48222
110120085 -0.35567 0.63275 1.47909
110120086 -0.35816 0.63275 1.47597
110120087 -0.36065 0.63275 1.47284
110120088 -0.36315 0.63275 1.46971
110120089 -0.36564 0.63275 1.46658
110120090 -0.36813 0.63275 1.46345
110120091 -0.37063 0.63275 1.46033
110120092 -0.37312 0.63275 1.45720
110120093 -0.37561 0.63275 1.45407
110120094 -0.37810 0.63275 1.45094
110120095 -0.38060 0.63275 1.44781
110120096 -0.38309 0.63275 1.44469
110120097 -0.38558 0.63275 1.44156
110120098 -0.38808 0.63275 1.43843
110120099 -0.39057 0.63275 1.43530
110120100 -0.39306 0.63275 1.43217
110120101 -0.39556 0.63275 1.42905
110120102 -0.39805 0.63275 1.42592
110120103 -0.40054 0.63275 1.42279
110120104 -0.40304 0.63275 1.41966
110120105 -0.40553 0.63275 1.41653
110120106 -0.40802 0.63275 1.41341
110120107 -0.41051 0.63275 1.41028
110120108 -0.41301 0.63275 1.40715
110120109 -0.41550 0.63275 1.40402
110120110 -0.41799 0.63275 1.40089
110120111 -0.42049 0.63275 1.39777
110120112 -0.42298 0.63275 1.39464
110120113 -0.42547 0.63275 1.39151
110120114 -0.42797 0.63275 1.38838
110120115 -0.43046 0.63275 1.38525
110120116 -0.43295 0.63275 1.38213
110120117 -0.43545 0.63275 1.37900
110120118 -0.43794 0.63275 1.37587
110120119 -0.44043 0.63275 1.37274
110120120 -0.44292 0.63275 1.36961
110120121 -0.44542 0.63275 1.36649
110120122 -0.44791 0.63275 1.36336
110120123 -0.45040 0.63275 1.36023
110120124 -0.45290 0.63275 1.35710
110120125 -0.45539 0.63275 1.35397
110120126 -0.45788 0.63275 1.35084
110120127 -0.46038 0.63275 1.34772
110120128 -0.46287 0.63275 1.34459
110120129 -0.46536 0.63275 1.34146
110120130 -0.46786 0.63275 1.33833
110120131 -0.47035 0.63275 1.33520
110120132 -0.47284 0.63275 1.33208
110120133 -0.47533 0.63275 1.32895
110120134 -0.47783 0.63275 1.32582
110120135 -0.48032 0.63275 1.32269
110120136 -0.48281 0.63275 1.31956
110120137 -0.48531 0.63275 1.31644
110120138 -0.48780 0.63275 1.31331
110120139 -0.49029 0.63275 1.31018
110120140 -0.49279 0.63275 1.30705
110120141 -0.49528 0.63275 1.30392
110120142 -0.49777 0.63275 1.30080
110120143 -0.50026 0.63275 1.29767
110120144 -0.50276 0.63275 1.29454
110120145 -0.50525 0.63275 1.29141
110120146 -0.50774 0.63275 1.28828
110120147 -0.51024 0.63275 1.28516
110120148 -0.51273 0.63275 1.28203
110120149 -0.51522 0.63275 1.27890
110120150 -0.51772 0.63275 1.27577
110120151 -0.14625 0.64625 1.74185
110120152 -0.14874 0.64625 1.73872
110120153 -0.15124 0.64625 1.73559
110120154 -0.15373 0.64625 1.73247
110120155 -0.15622 0.64625 1.72934
110120156 -0.15872 0.64625 1.72621
110120157 -0.16121 0.64625 1.72308
110120158 -0.16370 0.64625 1.71995
110120159 -0.16619 0.64625 1.71683
110120160 -0.16869 0.64625 1.71370
110120161 -0.17118 0.64625 1.71057
110120162 -0.17367 0.64625 1.70744
110120163 -0.17617 0.64625 1.70431
110120164 -0.17866 0.64625 1.70119
110120165 -0.18115 0.64625 1.69806
110120166 -0.18365 0.64625 1.69493
110120167 -0.18614 0.64625 1.69180
110120168 -0.18863 0.64625 1.68867
110120169 -0.19113 0.64625 1.68555
110120170 -0.19362 0.64625 1.68242
110120171 -0.19611 0.64625 1.67929
110120172 -0.19860 0.64625 1.67616
110120173 -0.20110 0.64625 1.67303
110120174 -0.20359 0.64625 1.66991
110120175 -0.20608 0.64625 1.66678
110120176 -0.20858 0.64625 1.66365
110120177 -0.21107 0.64625 1.66052
110120178 -0.21356 0.64625 1.65739
110120179 -0.21606 0.64625 1.65426
110120180 -0.21855 0.64625 1.65114
110120181 -0.22104 0.64625 1.64801
110120182 -0.22353 0.64625 1.64488
110120183 -0.22603 0.64625 1.64175
110120184 -0.22852 0.64625 1.63862
110120185 -0.23101 0.64625 1.63550
110120186 -0.23351 0.64625 1.63237
110120187 -0.23600 0.64625 1.62924
