# pixelID  x  y  z
110010001 -0.14625 -0.72725 1.74185
110010002 -0.14874 -0.72725 1.73872
110010003 -0.15124 -0.72725 1.73559
110010004 -0.15373 -0.72725 1.73247
110010005 -0.15622 -0.72725 1.72934
110010006 -0.15872 -0.72725 1.72621
110010007 -0.16121 -0.72725 1.72308
110010008 -0.16370 -0.72725 1.71995
110010009 -0.16619 -0.72725 1.71683
110010010 -0.16869 -0.72725 1.71370
110010011 -0.17118 -0.72725 1.71057
110010012 -0.17367 -0.72725 1.70744
110010013 -0.17617 -0.72725 1.70431
110010014 -0.17866 -0.72725 1.70119
110010015 -0.18115 -0.72725 1.69806
110010016 -0.18365 -0.72725 1.69493
110010017 -0.18614 -0.72725 1.69180
110010018 -0.18863 -0.72725 1.68867
110010019 -0.19113 -0.72725 1.68555
110010020 -0.19362 -0.72725 1.68242
110010021 -0.19611 -0.72725 1.67929
110010022 -0.19860 -0.72725 1.67616
110010023 -0.20110 -0.72725 1.67303
110010024 -0.20359 -0.72725 1.66991
110010025 -0.20608 -0.72725 1.66678
110010026 -0.20858 -0.72725 1.66365
110010027 -0.21107 -0.72725 1.66052
110010028 -0.21356 -0.72725 1.65739
110010029 -0.21606 -0.72725 1.65426
110010030 -0.21855 -0.72725 1.65114
110010031 -0.22104 -0.72725 1.64801
110010032 -0.22353 -0.72725 1.64488
110010033 -0.22603 -0.72725 1.64175
110010034 -0.22852 -0.72725 1.63862
110010035 -0.23101 -0.72725 1.63550
110010036 -0.23351 -0.72725 1.63237
110010037 -0.23600 -0.72725 1.62924
110010038 -0.23849 -0.72725 1.62611
110010039 -0.24099 -0.72725 1.62298
110010040 -0.24348 -0.72725 1.61986
110010041 -0.24597 -0.72725 1.61673
110010042 -0.24847 -0.72725 1.61360
110010043 -0.25096 -0.72725 1.61047
110010044 -0.25345 -0.72725 1.60734
110010045 -0.25594 -0.72725 1.60422
110010046 -0.25844 -0.72725 1.60109
110010047 -0.26093 -0.72725 1.59796
110010048 -0.26342 -0.72725 1.59483
110010049 -0.26592 -0.72725 1.59170
110010050 -0.26841 -0.72725 1.58858
110010051 -0.27090 -0.72725 1.58545
110010052 -0.27340 -0.72725 1.58232
110010053 -0.27589 -0.72725 1.57919
110010054 -0.27838 -0.72725 1.57606
110010055 -0.28088 -0.72725 1.57294
110010056 -0.28337 -0.72725 1.56981
110010057 -0.28586 -0.72725 1.56668
110010058 -0.28835 -0.72725 1.56355
110010059 -0.29085 -0.72725 1.56042
110010060 -0.29334 -0.72725 1.55730
110010061 -0.29583 -0.72725 1.55417
110010062 -0.29833 -0.72725 1.55104
110010063 -0.30082 -0.72725 1.54791
110010064 -0.30331 -0.72725 1.54478
110010065 -0.30581 -0.72725 1.54166
110010066 -0.30830 -0.72725 1.53853
110010067 -0.31079 -0.72725 1.53540
110010068 -0.31329 -0.72725 1.53227
110010069 -0.31578 -0.72725 1.52914
110010070 -0.31827 -0.72725 1.52602
110010071 -0.32076 -0.72725 1.52289
110010072 -0.32326 -0.72725 1.51976
110010073 -0.32575 -0.72725 1.51663
110010074 -0.32824 -0.72725 1.51350
110010075 -0.33074 -0.72725 1.51037
110010076 -0.33323 -0.72725 1.50725
110010077 -0.33572 -0.72725 1.50412
110010078 -0.33822 -0.72725 1.50099
110010079 -0.34071 -0.72725 1.49786
110010080 -0.34320 -0.72725 1.49473
110010081 -0.34569 -0.72725 1.49161
110010082 -0.34819 -0.72725 1.48848
110010083 -0.35068 -0.72725 1.48535
110010084 -0.35317 -0.72725 1.48222
110010085 -0.35567 -0.72725 1.47909
110010086 -0.35816 -0.72725 1.47597
110010087 -0.36065 -0.72725 1.47284
110010088 -0.36315 -0.72725 1.46971
110010089 -0.36564 -0.72725 1.46658
110010090 -0.36813 -0.72725 1.46345
110010091 -0.37063 -0.72725 1.46033
110010092 -0.37312 -0.72725 1.45720
110010093 -0.37561 -0.72725 1.45407
110010094 -0.37810 -0.72725 1.45094
110010095 -0.38060 -0.72725 1.44781
110010096 -0.38309 -0.72725 1.44469
110010097 -0.38558 -0.72725 1.44156
110010098 -0.38808 -0.72725 1.43843
110010099 -0.39057 -0.72725 1.43530
110010100 -0.39306 -0.72725 1.43217
110010101 -0.39556 -0.72725 1.42905
110010102 -0.39805 -0.72725 1.42592
110010103 -0.40054 -0.72725 1.42279
110010104 -0.40304 -0.72725 1.41966
110010105 -0.40553 -0.72725 1.41653
110010106 -0.40802 -0.72725 1.41341
110010107 -0.41051 -0.72725 1.41028
110010108 -0.41301 -0.72725 1.40715
110010109 -0.41550 -0.72725 1.40402
