# pixelID  x  y  z
114120001 0.86498 0.63275 -1.03963
114120002 0.86685 0.63275 -1.03609
114120003 0.86871 0.63275 -1.03255
114120004 0.87058 0.63275 -1.02901
114120005 0.87244 0.63275 -1.02548
114120006 0.87431 0.63275 -1.02194
114120007 0.87617 0.63275 -1.01840
114120008 0.87804 0.63275 -1.01486
114120009 0.87991 0.63275 -1.01132
114120010 0.88177 0.63275 -1.00778
114120011 0.88364 0.63275 -1.00425
114120012 0.88550 0.63275 -1.00071
114120013 0.88737 0.63275 -0.99717
114120014 0.88923 0.63275 -0.99363
114120015 0.89110 0.63275 -0.99009
114120016 0.89296 0.63275 -0.98655
114120017 0.89483 0.63275 -0.98302
114120018 0.89669 0.63275 -0.97948
114120019 0.89856 0.63275 -0.97594
114120020 0.90043 0.63275 -0.97240
114120021 0.90229 0.63275 -0.96886
114120022 0.90416 0.63275 -0.96532
114120023 0.90602 0.63275 -0.96179
114120024 0.90789 0.63275 -0.95825
114120025 0.90975 0.63275 -0.95471
114120026 0.91162 0.63275 -0.95117
114120027 0.91348 0.63275 -0.94763
114120028 0.91535 0.63275 -0.94409
114120029 0.91721 0.63275 -0.94056
114120030 0.91908 0.63275 -0.93702
114120031 0.92094 0.63275 -0.93348
114120032 0.92281 0.63275 -0.92994
114120033 0.92468 0.63275 -0.92640
114120034 0.92654 0.63275 -0.92286
114120035 0.92841 0.63275 -0.91932
114120036 0.93027 0.63275 -0.91579
114120037 0.93214 0.63275 -0.91225
114120038 0.93400 0.63275 -0.90871
114120039 0.93587 0.63275 -0.90517
114120040 0.93773 0.63275 -0.90163
114120041 0.93960 0.63275 -0.89809
114120042 0.94146 0.63275 -0.89456
114120043 0.94333 0.63275 -0.89102
114120044 0.94520 0.63275 -0.88748
114120045 0.94706 0.63275 -0.88394
114120046 0.94893 0.63275 -0.88040
114120047 0.95079 0.63275 -0.87686
114120048 0.95266 0.63275 -0.87333
114120049 0.95452 0.63275 -0.86979
114120050 0.95639 0.63275 -0.86625
114120051 0.95825 0.63275 -0.86271
114120052 0.96012 0.63275 -0.85917
114120053 0.96198 0.63275 -0.85563
114120054 0.96385 0.63275 -0.85210
114120055 0.96571 0.63275 -0.84856
114120056 0.96758 0.63275 -0.84502
114120057 0.96945 0.63275 -0.84148
114120058 0.97131 0.63275 -0.83794
114120059 0.97318 0.63275 -0.83440
114120060 0.97504 0.63275 -0.83087
114120061 0.97691 0.63275 -0.82733
114120062 0.97877 0.63275 -0.82379
114120063 0.98064 0.63275 -0.82025
114120064 0.98250 0.63275 -0.81671
114120065 0.98437 0.63275 -0.81317
114120066 0.98623 0.63275 -0.80963
114120067 0.98810 0.63275 -0.80610
114120068 0.98997 0.63275 -0.80256
114120069 0.99183 0.63275 -0.79902
114120070 0.99370 0.63275 -0.79548
114120071 0.99556 0.63275 -0.79194
114120072 0.99743 0.63275 -0.78840
114120073 0.99929 0.63275 -0.78487
114120074 1.00116 0.63275 -0.78133
114120075 1.00302 0.63275 -0.77779
114120076 1.00489 0.63275 -0.77425
114120077 1.00675 0.63275 -0.77071
114120078 1.00862 0.63275 -0.76717
114120079 1.01048 0.63275 -0.76364
114120080 1.01235 0.63275 -0.76010
114120081 1.01422 0.63275 -0.75656
114120082 1.01608 0.63275 -0.75302
114120083 1.01795 0.63275 -0.74948
114120084 1.01981 0.63275 -0.74594
114120085 1.02168 0.63275 -0.74241
114120086 1.02354 0.63275 -0.73887
114120087 1.02541 0.63275 -0.73533
114120088 1.02727 0.63275 -0.73179
114120089 1.02914 0.63275 -0.72825
114120090 1.03100 0.63275 -0.72471
114120091 1.03287 0.63275 -0.72117
114120092 1.03474 0.63275 -0.71764
114120093 1.03660 0.63275 -0.71410
114120094 1.03847 0.63275 -0.71056
114120095 1.04033 0.63275 -0.70702
114120096 1.04220 0.63275 -0.70348
114120097 1.04406 0.63275 -0.69994
114120098 1.04593 0.63275 -0.69641
114120099 1.04779 0.63275 -0.69287
114120100 1.04966 0.63275 -0.68933
114120101 1.05152 0.63275 -0.68579
114120102 1.05339 0.63275 -0.68225
114120103 1.05526 0.63275 -0.67871
114120104 1.05712 0.63275 -0.67518
114120105 1.05899 0.63275 -0.67164
114120106 1.06085 0.63275 -0.66810
114120107 1.06272 0.63275 -0.66456
114120108 1.06458 0.63275 -0.66102
114120109 1.06645 0.63275 -0.65748
114120110 1.06831 0.63275 -0.65395
114120111 1.07018 0.63275 -0.65041
114120112 1.07204 0.63275 -0.64687
114120113 1.07391 0.63275 -0.64333
114120114 1.07577 0.63275 -0.63979
114120115 1.07764 0.63275 -0.63625
114120116 1.07951 0.63275 -0.63272
114120117 1.08137 0.63275 -0.62918
114120118 1.08324 0.63275 -0.62564
114120119 1.08510 0.63275 -0.62210
114120120 1.08697 0.63275 -0.61856
114120121 1.08883 0.63275 -0.61502
114120122 1.09070 0.63275 -0.61148
114120123 1.09256 0.63275 -0.60795
114120124 1.09443 0.63275 -0.60441
114120125 1.09629 0.63275 -0.60087
114120126 1.09816 0.63275 -0.59733
114120127 1.10003 0.63275 -0.59379
114120128 1.10189 0.63275 -0.59025
114120129 1.10376 0.63275 -0.58672
114120130 1.10562 0.63275 -0.58318
114120131 1.10749 0.63275 -0.57964
114120132 1.10935 0.63275 -0.57610
114120133 1.11122 0.63275 -0.57256
114120134 1.11308 0.63275 -0.56902
114120135 1.11495 0.63275 -0.56549
114120136 1.11681 0.63275 -0.56195
114120137 1.11868 0.63275 -0.55841
114120138 1.12054 0.63275 -0.55487
114120139 1.12241 0.63275 -0.55133
114120140 1.12428 0.63275 -0.54779
114120141 1.12614 0.63275 -0.54426
114120142 1.12801 0.63275 -0.54072
114120143 1.12987 0.63275 -0.53718
114120144 1.13174 0.63275 -0.53364
114120145 1.13360 0.63275 -0.53010
114120146 1.13547 0.63275 -0.52656
114120147 1.13733 0.63275 -0.52303
114120148 1.13920 0.63275 -0.51949
114120149 1.14106 0.63275 -0.51595
114120150 1.14293 0.63275 -0.51241
114120151 0.86498 0.64625 -1.03963
114120152 0.86685 0.64625 -1.03609
114120153 0.86871 0.64625 -1.03255
114120154 0.87058 0.64625 -1.02901
114120155 0.87244 0.64625 -1.02548
114120156 0.87431 0.64625 -1.02194
114120157 0.87617 0.64625 -1.01840
114120158 0.87804 0.64625 -1.01486
114120159 0.87991 0.64625 -1.01132
