# pixelID  x  y  z
111010001 0.51771 -0.72725 1.27577
111010002 0.51522 -0.72725 1.27890
111010003 0.51272 -0.72725 1.28203
111010004 0.51023 -0.72725 1.28515
111010005 0.50774 -0.72725 1.28828
111010006 0.50524 -0.72725 1.29141
111010007 0.50275 -0.72725 1.29454
111010008 0.50026 -0.72725 1.29767
111010009 0.49777 -0.72725 1.30079
111010010 0.49527 -0.72725 1.30392
111010011 0.49278 -0.72725 1.30705
111010012 0.49029 -0.72725 1.31018
111010013 0.48779 -0.72725 1.31331
111010014 0.48530 -0.72725 1.31643
111010015 0.48281 -0.72725 1.31956
111010016 0.48031 -0.72725 1.32269
111010017 0.47782 -0.72725 1.32582
111010018 0.47533 -0.72725 1.32895
111010019 0.47283 -0.72725 1.33207
111010020 0.47034 -0.72725 1.33520
111010021 0.46785 -0.72725 1.33833
111010022 0.46536 -0.72725 1.34146
111010023 0.46286 -0.72725 1.34459
111010024 0.46037 -0.72725 1.34771
111010025 0.45788 -0.72725 1.35084
111010026 0.45538 -0.72725 1.35397
111010027 0.45289 -0.72725 1.35710
111010028 0.45040 -0.72725 1.36023
111010029 0.44790 -0.72725 1.36336
111010030 0.44541 -0.72725 1.36648
111010031 0.44292 -0.72725 1.36961
111010032 0.44043 -0.72725 1.37274
111010033 0.43793 -0.72725 1.37587
111010034 0.43544 -0.72725 1.37900
111010035 0.43295 -0.72725 1.38212
111010036 0.43045 -0.72725 1.38525
111010037 0.42796 -0.72725 1.38838
111010038 0.42547 -0.72725 1.39151
111010039 0.42297 -0.72725 1.39464
111010040 0.42048 -0.72725 1.39776
111010041 0.41799 -0.72725 1.40089
111010042 0.41549 -0.72725 1.40402
111010043 0.41300 -0.72725 1.40715
111010044 0.41051 -0.72725 1.41028
111010045 0.40802 -0.72725 1.41340
111010046 0.40552 -0.72725 1.41653
111010047 0.40303 -0.72725 1.41966
111010048 0.40054 -0.72725 1.42279
111010049 0.39804 -0.72725 1.42592
111010050 0.39555 -0.72725 1.42904
111010051 0.39306 -0.72725 1.43217
111010052 0.39056 -0.72725 1.43530
111010053 0.38807 -0.72725 1.43843
111010054 0.38558 -0.72725 1.44156
111010055 0.38308 -0.72725 1.44468
111010056 0.38059 -0.72725 1.44781
111010057 0.37810 -0.72725 1.45094
111010058 0.37561 -0.72725 1.45407
111010059 0.37311 -0.72725 1.45720
111010060 0.37062 -0.72725 1.46032
111010061 0.36813 -0.72725 1.46345
111010062 0.36563 -0.72725 1.46658
111010063 0.36314 -0.72725 1.46971
111010064 0.36065 -0.72725 1.47284
111010065 0.35815 -0.72725 1.47596
111010066 0.35566 -0.72725 1.47909
111010067 0.35317 -0.72725 1.48222
111010068 0.35067 -0.72725 1.48535
111010069 0.34818 -0.72725 1.48848
111010070 0.34569 -0.72725 1.49160
111010071 0.34320 -0.72725 1.49473
111010072 0.34070 -0.72725 1.49786
111010073 0.33821 -0.72725 1.50099
111010074 0.33572 -0.72725 1.50412
111010075 0.33322 -0.72725 1.50725
111010076 0.33073 -0.72725 1.51037
111010077 0.32824 -0.72725 1.51350
111010078 0.32574 -0.72725 1.51663
111010079 0.32325 -0.72725 1.51976
111010080 0.32076 -0.72725 1.52289
111010081 0.31827 -0.72725 1.52601
111010082 0.31577 -0.72725 1.52914
111010083 0.31328 -0.72725 1.53227
111010084 0.31079 -0.72725 1.53540
111010085 0.30829 -0.72725 1.53853
111010086 0.30580 -0.72725 1.54165
111010087 0.30331 -0.72725 1.54478
111010088 0.30081 -0.72725 1.54791
111010089 0.29832 -0.72725 1.55104
111010090 0.29583 -0.72725 1.55417
111010091 0.29333 -0.72725 1.55729
111010092 0.29084 -0.72725 1.56042
111010093 0.28835 -0.72725 1.56355
111010094 0.28586 -0.72725 1.56668
111010095 0.28336 -0.72725 1.56981
111010096 0.28087 -0.72725 1.57293
111010097 0.27838 -0.72725 1.57606
111010098 0.27588 -0.72725 1.57919
111010099 0.27339 -0.72725 1.58232
111010100 0.27090 -0.72725 1.58545
111010101 0.26840 -0.72725 1.58857
111010102 0.26591 -0.72725 1.59170
111010103 0.26342 -0.72725 1.59483
111010104 0.26092 -0.72725 1.59796
111010105 0.25843 -0.72725 1.60109
111010106 0.25594 -0.72725 1.60421
111010107 0.25345 -0.72725 1.60734
111010108 0.25095 -0.72725 1.61047
111010109 0.24846 -0.72725 1.61360
111010110 0.24597 -0.72725 1.61673
111010111 0.24347 -0.72725 1.61985
111010112 0.24098 -0.72725 1.62298
111010113 0.23849 -0.72725 1.62611
111010114 0.23599 -0.72725 1.62924
111010115 0.23350 -0.72725 1.63237
111010116 0.23101 -0.72725 1.63549
111010117 0.22851 -0.72725 1.63862
111010118 0.22602 -0.72725 1.64175
111010119 0.22353 -0.72725 1.64488
111010120 0.22104 -0.72725 1.64801
111010121 0.21854 -0.72725 1.65113
111010122 0.21605 -0.72725 1.65426
111010123 0.21356 -0.72725 1.65739
111010124 0.21106 -0.72725 1.66052
111010125 0.20857 -0.72725 1.66365
111010126 0.20608 -0.72725 1.66678
111010127 0.20358 -0.72725 1.66990
111010128 0.20109 -0.72725 1.67303
111010129 0.19860 -0.72725 1.67616
111010130 0.19610 -0.72725 1.67929
111010131 0.19361 -0.72725 1.68242
111010132 0.19112 -0.72725 1.68554
111010133 0.18863 -0.72725 1.68867
111010134 0.18613 -0.72725 1.69180
111010135 0.18364 -0.72725 1.69493
111010136 0.18115 -0.72725 1.69806
111010137 0.17865 -0.72725 1.70118
111010138 0.17616 -0.72725 1.70431
111010139 0.17367 -0.72725 1.70744
111010140 0.17117 -0.72725 1.71057
111010141 0.16868 -0.72725 1.71370
111010142 0.16619 -0.72725 1.71682
111010143 0.16370 -0.72725 1.71995
111010144 0.16120 -0.72725 1.72308
111010145 0.15871 -0.72725 1.72621
111010146 0.15622 -0.72725 1.72934
111010147 0.15372 -0.72725 1.73246
111010148 0.15123 -0.72725 1.73559
111010149 0.14874 -0.72725 1.73872
111010150 0.14624 -0.72725 1.74185
111010151 0.51771 -0.71375 1.27577
111010152 0.51522 -0.71375 1.27890
111010153 0.51272 -0.71375 1.28203
111010154 0.51023 -0.71375 1.28515
111010155 0.50774 -0.71375 1.28828
111010156 0.50524 -0.71375 1.29141
111010157 0.50275 -0.71375 1.29454
111010158 0.50026 -0.71375 1.29767
111010159 0.49777 -0.71375 1.30079
111010160 0.49527 -0.71375 1.30392
111010161 0.49278 -0.71375 1.30705
111010162 0.49029 -0.71375 1.31018
111010163 0.48779 -0.71375 1.31331
111010164 0.48530 -0.71375 1.31643
111010165 0.48281 -0.71375 1.31956
111010166 0.48031 -0.71375 1.32269
111010167 0.47782 -0.71375 1.32582
111010168 0.47533 -0.71375 1.32895
111010169 0.47283 -0.71375 1.33207
111010170 0.47034 -0.71375 1.33520
111010171 0.46785 -0.71375 1.33833
111010172 0.46536 -0.71375 1.34146
111010173 0.46286 -0.71375 1.34459
111010174 0.46037 -0.71375 1.34771
111010175 0.45788 -0.71375 1.35084
111010176 0.45538 -0.71375 1.35397
111010177 0.45289 -0.71375 1.35710
111010178 0.45040 -0.71375 1.36023
111010179 0.44790 -0.71375 1.36336
111010180 0.44541 -0.71375 1.36648
111010181 0.44292 -0.71375 1.36961
111010182 0.44043 -0.71375 1.37274
111010183 0.43793 -0.71375 1.37587
111010184 0.43544 -0.71375 1.37900
111010185 0.43295 -0.71375 1.38212
111010186 0.43045 -0.71375 1.38525
111010187 0.42796 -0.71375 1.38838
111010188 0.42547 -0.71375 1.39151
111010189 0.42297 -0.71375 1.39464
111010190 0.42048 -0.71375 1.39776
111010191 0.41799 -0.71375 1.40089
111010192 0.41549 -0.71375 1.40402
111010193 0.41300 -0.71375 1.40715
111010194 0.41051 -0.71375 1.41028
111010195 0.40802 -0.71375 1.41340
111010196 0.40552 -0.71375 1.41653
111010197 0.40303 -0.71375 1.41966
111010198 0.40054 -0.71375 1.42279
111010199 0.39804 -0.71375 1.42592
111010200 0.39555 -0.71375 1.42904
111010201 0.39306 -0.71375 1.43217
111010202 0.39056 -0.71375 1.43530
111010203 0.38807 -0.71375 1.43843
111010204 0.38558 -0.71375 1.44156
111010205 0.38308 -0.71375 1.44468
111010206 0.38059 -0.71375 1.44781
111010207 0.37810 -0.71375 1.45094
111010208 0.37561 -0.71375 1.45407
111010209 0.37311 -0.71375 1.45720
111010210 0.37062 -0.71375 1.46032
111010211 0.36813 -0.71375 1.46345
111010212 0.36563 -0.71375 1.46658
111010213 0.36314 -0.71375 1.46971
111010214 0.36065 -0.71375 1.47284
111010215 0.35815 -0.71375 1.47596
111010216 0.35566 -0.71375 1.47909
111010217 0.35317 -0.71375 1.48222
111010218 0.35067 -0.71375 1.48535
111010219 0.34818 -0.71375 1.48848
111010220 0.34569 -0.71375 1.49160
111010221 0.34320 -0.71375 1.49473
111010222 0.34070 -0.71375 1.49786
111010223 0.33821 -0.71375 1.50099
111010224 0.33572 -0.71375 1.50412
111010225 0.33322 -0.71375 1.50725
111010226 0.33073 -0.71375 1.51037
111010227 0.32824 -0.71375 1.51350
111010228 0.32574 -0.71375 1.51663
111010229 0.32325 -0.71375 1.51976
111010230 0.32076 -0.71375 1.52289
111010231 0.31827 -0.71375 1.52601
111010232 0.31577 -0.71375 1.52914
111010233 0.31328 -0.71375 1.53227
111010234 0.31079 -0.71375 1.53540
111010235 0.30829 -0.71375 1.53853
111010236 0.30580 -0.71375 1.54165
111010237 0.30331 -0.71375 1.54478
111010238 0.30081 -0.71375 1.54791
111010239 0.29832 -0.71375 1.55104
111010240 0.29583 -0.71375 1.55417
111010241 0.29333 -0.71375 1.55729
111010242 0.29084 -0.71375 1.56042
111010243 0.28835 -0.71375 1.56355
111010244 0.28586 -0.71375 1.56668
111010245 0.28336 -0.71375 1.56981
111010246 0.28087 -0.71375 1.57293
111010247 0.27838 -0.71375 1.57606
111010248 0.27588 -0.71375 1.57919
111010249 0.27339 -0.71375 1.58232
111010250 0.27090 -0.71375 1.58545
111010251 0.26840 -0.71375 1.58857
