# pixelID  x  y  z
112050001 1.08549 -0.21225 0.56338
112050002 1.08300 -0.21225 0.56651
112050003 1.08050 -0.21225 0.56964
112050004 1.07801 -0.21225 0.57276
112050005 1.07552 -0.21225 0.57589
112050006 1.07302 -0.21225 0.57902
112050007 1.07053 -0.21225 0.58215
112050008 1.06804 -0.21225 0.58528
112050009 1.06555 -0.21225 0.58840
112050010 1.06305 -0.21225 0.59153
112050011 1.06056 -0.21225 0.59466
112050012 1.05807 -0.21225 0.59779
112050013 1.05557 -0.21225 0.60092
112050014 1.05308 -0.21225 0.60404
112050015 1.05059 -0.21225 0.60717
112050016 1.04809 -0.21225 0.61030
112050017 1.04560 -0.21225 0.61343
112050018 1.04311 -0.21225 0.61656
112050019 1.04061 -0.21225 0.61968
112050020 1.03812 -0.21225 0.62281
112050021 1.03563 -0.21225 0.62594
112050022 1.03314 -0.21225 0.62907
112050023 1.03064 -0.21225 0.63220
112050024 1.02815 -0.21225 0.63532
112050025 1.02566 -0.21225 0.63845
112050026 1.02316 -0.21225 0.64158
112050027 1.02067 -0.21225 0.64471
112050028 1.01818 -0.21225 0.64784
112050029 1.01568 -0.21225 0.65097
112050030 1.01319 -0.21225 0.65409
112050031 1.01070 -0.21225 0.65722
112050032 1.00821 -0.21225 0.66035
112050033 1.00571 -0.21225 0.66348
112050034 1.00322 -0.21225 0.66661
112050035 1.00073 -0.21225 0.66973
112050036 0.99823 -0.21225 0.67286
112050037 0.99574 -0.21225 0.67599
112050038 0.99325 -0.21225 0.67912
112050039 0.99075 -0.21225 0.68225
112050040 0.98826 -0.21225 0.68537
112050041 0.98577 -0.21225 0.68850
112050042 0.98327 -0.21225 0.69163
112050043 0.98078 -0.21225 0.69476
112050044 0.97829 -0.21225 0.69789
112050045 0.97580 -0.21225 0.70101
112050046 0.97330 -0.21225 0.70414
112050047 0.97081 -0.21225 0.70727
112050048 0.96832 -0.21225 0.71040
112050049 0.96582 -0.21225 0.71353
112050050 0.96333 -0.21225 0.71665
112050051 0.96084 -0.21225 0.71978
112050052 0.95834 -0.21225 0.72291
112050053 0.95585 -0.21225 0.72604
112050054 0.95336 -0.21225 0.72917
112050055 0.95086 -0.21225 0.73229
112050056 0.94837 -0.21225 0.73542
112050057 0.94588 -0.21225 0.73855
112050058 0.94339 -0.21225 0.74168
112050059 0.94089 -0.21225 0.74481
112050060 0.93840 -0.21225 0.74793
112050061 0.93591 -0.21225 0.75106
112050062 0.93341 -0.21225 0.75419
112050063 0.93092 -0.21225 0.75732
