# pixelID  x  y  z
114010001 0.86498 -0.72725 -1.03963
114010002 0.86685 -0.72725 -1.03609
114010003 0.86871 -0.72725 -1.03255
114010004 0.87058 -0.72725 -1.02901
114010005 0.87244 -0.72725 -1.02548
114010006 0.87431 -0.72725 -1.02194
114010007 0.87617 -0.72725 -1.01840
114010008 0.87804 -0.72725 -1.01486
114010009 0.87991 -0.72725 -1.01132
114010010 0.88177 -0.72725 -1.00778
114010011 0.88364 -0.72725 -1.00425
114010012 0.88550 -0.72725 -1.00071
114010013 0.88737 -0.72725 -0.99717
114010014 0.88923 -0.72725 -0.99363
114010015 0.89110 -0.72725 -0.99009
114010016 0.89296 -0.72725 -0.98655
114010017 0.89483 -0.72725 -0.98302
114010018 0.89669 -0.72725 -0.97948
114010019 0.89856 -0.72725 -0.97594
114010020 0.90043 -0.72725 -0.97240
114010021 0.90229 -0.72725 -0.96886
114010022 0.90416 -0.72725 -0.96532
114010023 0.90602 -0.72725 -0.96179
114010024 0.90789 -0.72725 -0.95825
114010025 0.90975 -0.72725 -0.95471
114010026 0.91162 -0.72725 -0.95117
114010027 0.91348 -0.72725 -0.94763
114010028 0.91535 -0.72725 -0.94409
114010029 0.91721 -0.72725 -0.94056
114010030 0.91908 -0.72725 -0.93702
114010031 0.92094 -0.72725 -0.93348
114010032 0.92281 -0.72725 -0.92994
114010033 0.92468 -0.72725 -0.92640
114010034 0.92654 -0.72725 -0.92286
114010035 0.92841 -0.72725 -0.91932
114010036 0.93027 -0.72725 -0.91579
114010037 0.93214 -0.72725 -0.91225
114010038 0.93400 -0.72725 -0.90871
114010039 0.93587 -0.72725 -0.90517
114010040 0.93773 -0.72725 -0.90163
114010041 0.93960 -0.72725 -0.89809
114010042 0.94146 -0.72725 -0.89456
114010043 0.94333 -0.72725 -0.89102
114010044 0.94520 -0.72725 -0.88748
114010045 0.94706 -0.72725 -0.88394
114010046 0.94893 -0.72725 -0.88040
114010047 0.95079 -0.72725 -0.87686
114010048 0.95266 -0.72725 -0.87333
114010049 0.95452 -0.72725 -0.86979
114010050 0.95639 -0.72725 -0.86625
114010051 0.95825 -0.72725 -0.86271
114010052 0.96012 -0.72725 -0.85917
114010053 0.96198 -0.72725 -0.85563
114010054 0.96385 -0.72725 -0.85210
114010055 0.96571 -0.72725 -0.84856
114010056 0.96758 -0.72725 -0.84502
114010057 0.96945 -0.72725 -0.84148
114010058 0.97131 -0.72725 -0.83794
114010059 0.97318 -0.72725 -0.83440
114010060 0.97504 -0.72725 -0.83087
114010061 0.97691 -0.72725 -0.82733
114010062 0.97877 -0.72725 -0.82379
114010063 0.98064 -0.72725 -0.82025
114010064 0.98250 -0.72725 -0.81671
114010065 0.98437 -0.72725 -0.81317
114010066 0.98623 -0.72725 -0.80963
114010067 0.98810 -0.72725 -0.80610
114010068 0.98997 -0.72725 -0.80256
114010069 0.99183 -0.72725 -0.79902
114010070 0.99370 -0.72725 -0.79548
114010071 0.99556 -0.72725 -0.79194
114010072 0.99743 -0.72725 -0.78840
114010073 0.99929 -0.72725 -0.78487
114010074 1.00116 -0.72725 -0.78133
114010075 1.00302 -0.72725 -0.77779
114010076 1.00489 -0.72725 -0.77425
114010077 1.00675 -0.72725 -0.77071
114010078 1.00862 -0.72725 -0.76717
114010079 1.01048 -0.72725 -0.76364
114010080 1.01235 -0.72725 -0.76010
114010081 1.01422 -0.72725 -0.75656
114010082 1.01608 -0.72725 -0.75302
114010083 1.01795 -0.72725 -0.74948
114010084 1.01981 -0.72725 -0.74594
114010085 1.02168 -0.72725 -0.74241
114010086 1.02354 -0.72725 -0.73887
114010087 1.02541 -0.72725 -0.73533
114010088 1.02727 -0.72725 -0.73179
114010089 1.02914 -0.72725 -0.72825
114010090 1.03100 -0.72725 -0.72471
114010091 1.03287 -0.72725 -0.72117
114010092 1.03474 -0.72725 -0.71764
114010093 1.03660 -0.72725 -0.71410
114010094 1.03847 -0.72725 -0.71056
114010095 1.04033 -0.72725 -0.70702
114010096 1.04220 -0.72725 -0.70348
114010097 1.04406 -0.72725 -0.69994
114010098 1.04593 -0.72725 -0.69641
114010099 1.04779 -0.72725 -0.69287
114010100 1.04966 -0.72725 -0.68933
114010101 1.05152 -0.72725 -0.68579
114010102 1.05339 -0.72725 -0.68225
114010103 1.05526 -0.72725 -0.67871
114010104 1.05712 -0.72725 -0.67518
114010105 1.05899 -0.72725 -0.67164
114010106 1.06085 -0.72725 -0.66810
114010107 1.06272 -0.72725 -0.66456
114010108 1.06458 -0.72725 -0.66102
114010109 1.06645 -0.72725 -0.65748
114010110 1.06831 -0.72725 -0.65395
114010111 1.07018 -0.72725 -0.65041
114010112 1.07204 -0.72725 -0.64687
114010113 1.07391 -0.72725 -0.64333
114010114 1.07577 -0.72725 -0.63979
114010115 1.07764 -0.72725 -0.63625
114010116 1.07951 -0.72725 -0.63272
114010117 1.08137 -0.72725 -0.62918
114010118 1.08324 -0.72725 -0.62564
114010119 1.08510 -0.72725 -0.62210
114010120 1.08697 -0.72725 -0.61856
114010121 1.08883 -0.72725 -0.61502
114010122 1.09070 -0.72725 -0.61148
114010123 1.09256 -0.72725 -0.60795
114010124 1.09443 -0.72725 -0.60441
114010125 1.09629 -0.72725 -0.60087
114010126 1.09816 -0.72725 -0.59733
114010127 1.10003 -0.72725 -0.59379
114010128 1.10189 -0.72725 -0.59025
114010129 1.10376 -0.72725 -0.58672
114010130 1.10562 -0.72725 -0.58318
114010131 1.10749 -0.72725 -0.57964
114010132 1.10935 -0.72725 -0.57610
114010133 1.11122 -0.72725 -0.57256
114010134 1.11308 -0.72725 -0.56902
114010135 1.11495 -0.72725 -0.56549
114010136 1.11681 -0.72725 -0.56195
114010137 1.11868 -0.72725 -0.55841
114010138 1.12054 -0.72725 -0.55487
114010139 1.12241 -0.72725 -0.55133
114010140 1.12428 -0.72725 -0.54779
114010141 1.12614 -0.72725 -0.54426
114010142 1.12801 -0.72725 -0.54072
114010143 1.12987 -0.72725 -0.53718
114010144 1.13174 -0.72725 -0.53364
114010145 1.13360 -0.72725 -0.53010
